ts,op,src,src_sha1,out,out_sha1,src_dims,out_dims,params,note
2026-06-04 22:28:36,register,lot00_raw.png,e0ebfea97511f6cc,lot00_raw.png,e0ebfea97511f6cc,896x1200,896x1200,896x1200,registered
2026-06-04 22:28:37,grade,lot00_raw.png,e0ebfea97511f6cc,lot00_graded.png,3013036d1579eac0,896x1200,896x1200,spec=SNIPED_LOCKED_LOOK_v3_LUXURY phash=2c493b3b,locked LUXURY look applied (deterministic)
2026-06-04 22:29:57,colorlaw,lot00_graded.png,3013036d1579eac0,lot00_composite.png,e41a8f52cb6acf6c,896x1200,896x1200,keep_deg=5 width=30 outside=0.12 boost=1.15,color-law: only auction-red retains saturation
2026-06-04 22:30:39,glyph,lot00_tag_zoom.png,9d337dc77c78773a,lot00_glyph_demo.png,04610db8adbc6593,360x372,360x372,x=96 y=60 text='LOT 00' size=20,legibility fix: serif stamp overlay (deterministic). Adobe generative re-stamp = AMBER escalation
2026-06-04 22:30:39,ESCALATE_ADOBE:glyph_restamp,lot00_composite.png,e41a8f52cb6acf6c,lot00_composite.png,e41a8f52cb6acf6c,896x1200,896x1200,"seamless in-place re-stamp of wrist tag to read LOT 00 (generative text, angle+texture matched)","ADOBE_MCP escalation requested (bridge wired, run on approval)"
2026-06-04 22:31:08,reframe,lot00_composite.png,e41a8f52cb6acf6c,lot00_ig_feed_4x5_1080x1350.png,7553ce82dde81ca1,896x1200,1080x1350,"ig_feed_4x5 1080x1350 focus=0.52,0.62",ENLARGED past source (flagged)
2026-06-04 22:31:08,reframe,lot00_composite.png,e41a8f52cb6acf6c,lot00_square_1x1_1080x1080.png,83882b6bd8ca8e6c,896x1200,1080x1080,"square_1x1 1080x1080 focus=0.52,0.62",ok
2026-06-04 22:31:08,reframe,lot00_composite.png,e41a8f52cb6acf6c,lot00_story_9x16_1080x1920.png,729b226121682faa,896x1200,1080x1920,"story_9x16 1080x1920 focus=0.52,0.62",ENLARGED past source (flagged)
2026-06-04 22:31:09,reframe,lot00_composite.png,e41a8f52cb6acf6c,lot00_li_banner_1584x396.png,9796289ec1358280,896x1200,1584x396,"li_banner 1584x396 focus=0.52,0.62",ENLARGED past source (flagged)
2026-06-04 22:31:09,reframe,lot00_composite.png,e41a8f52cb6acf6c,lot00_yt_thumb_16x9_1280x720.png,8adc54607894ede1,896x1200,1280x720,"yt_thumb_16x9 1280x720 focus=0.52,0.62",ENLARGED past source (flagged)
2026-06-04 22:31:10,reframe,lot00_composite.png,e41a8f52cb6acf6c,lot00_web_hero_3x2_2400x1600.png,92b0b5e0d2170dc2,896x1200,2400x1600,"web_hero_3x2 2400x1600 focus=0.52,0.62",ENLARGED past source (flagged)
2026-06-04 22:31:11,reframe,lot00_composite.png,e41a8f52cb6acf6c,lot00_print_4x5_2000x2500.png,ca9f39cd8392651d,896x1200,2000x2500,"print_4x5 2000x2500 focus=0.52,0.62",ENLARGED past source (flagged)
2026-06-04 22:31:51,cut,axis_motion_v1.mp4,910ada184fcaa57f,cut_test_9x16_capsafe.mp4,6f5bbc2543411b16,0x0,0x0,start=0 dur=3.0 mute=True size=1080x1920 caption_safe=True fps=30,"caption-safe box={'x': 0, 'y': 1574, 'w': 1080, 'h': 345}"
