name,description,keywords,sections,best_for,conversion_focus
Hero-Centric,"Bold hero section dominates above the fold with strong headline and single CTA","hero bold headline cta above-fold impact",Hero with headline + subhead + CTA | Social proof bar | Feature grid (3 cols) | Testimonial | Final CTA,Product launches and brand campaigns and bold statements,Single focused CTA with maximum impact above the fold
Storytelling Scroll,"Long-form narrative that unfolds as user scrolls through a brand story","story narrative scroll long-form brand journey",Opening hook | Origin story section | Problem identification | Solution reveal | Evidence/proof | Vision/future | CTA,Brand launches and about pages and mission-driven companies,Emotional connection drives conversion through narrative investment
Feature Showcase,"Alternating left-right sections highlighting individual product features","features alternating left-right product showcase demo",Hero with product visual | Feature 1 (image left) | Feature 2 (image right) | Feature 3 (image left) | Integration logos | CTA,SaaS products and feature-rich tools and technical products,Feature-by-feature value building leads to informed conversion
Social Proof Heavy,"Testimonials and case studies dominate the layout to build trust","social proof testimonials reviews trust case-study",Mini hero | Logo bar (trusted by) | Testimonial carousel | Case study cards | Metrics/stats bar | Star ratings section | CTA,B2B SaaS and consulting and high-ticket services,Trust-first approach where social proof removes purchase friction
Comparison Table,"Side-by-side comparison of plans or vs competitors","comparison table pricing versus plans tiers",Hero with value prop | Feature comparison table | Plan highlights | Testimonial per plan | FAQ | CTA per tier,SaaS pricing and competitive products and multi-tier services,Direct comparison helps users self-select into the right tier
Pricing Focused,"Pricing cards are the centerpiece with supporting value props","pricing cards plans tiers billing features",Brief hero | Trust logos | Pricing cards (3 tiers) | Feature breakdown | FAQ accordion | Enterprise CTA,SaaS and subscription services and clear-tier products,Pricing-first layout for users ready to evaluate cost
Product Launch,"Countdown-driven urgency with phased information reveal","launch countdown urgency waitlist product reveal",Countdown timer hero | Product teaser | Feature previews | Early access benefits | Email capture | Social sharing,New product launches and kickstarters and pre-orders,Urgency and exclusivity drive early signups
Lead Generation,"Form-centric layout designed to capture contact information","lead-gen form capture email newsletter funnel",Hero with benefit headline | Form (above fold) | 3 trust points | Testimonials | What you get section | Form repeat,Newsletters and gated content and webinars and consultations,Form appears multiple times with progressive value revelation
Portfolio Grid,"Visual grid showcasing work samples with filtering","portfolio grid gallery work showcase filter",Hero with tagline | Filter bar | Project grid (masonry) | Project detail modal | About section | Contact CTA,Agencies and freelancers and photographers and designers,Visual quality of work drives contact conversion
SaaS Dashboard Preview,"Interactive or animated dashboard preview as the hero element","saas dashboard preview demo interactive animated",Dashboard preview hero | How it works (3 steps) | Feature deep-dives | Integration section | Pricing | CTA,SaaS tools and analytics platforms and developer tools,Product visualization reduces uncertainty and drives trial signups
E-commerce Product,"Product-focused with gallery and purchase interface","ecommerce product buy cart gallery reviews price",Product image gallery | Price + Add to cart | Description tabs | Size/variant selector | Reviews | Related products,Online stores and product pages and retail,Direct purchase interface with supporting info reduces cart abandonment
App Download,"Mobile app promotion with device mockups and store badges","app mobile download ios android mockup store",Hero with phone mockup | App store badges | Feature cards | Screenshots carousel | Reviews | Download CTA,Mobile apps and app launches and mobile-first products,Clear path to app store with visual preview of app experience
Event Landing,"Date-driven event page with speakers and schedule","event conference speakers schedule register date",Hero with date + location | Speaker grid | Schedule timeline | Venue info | Sponsor logos | Registration CTA,Conferences and webinars and workshops and meetups,Event details build excitement leading to registration conversion
Webinar Registration,"Single-purpose page for webinar signup with countdown","webinar registration countdown live zoom date",Hero with webinar title + date | Host bio | What you will learn (bullets) | Countdown timer | Registration form | Social proof,Live webinars and online workshops and virtual events,Countdown urgency with clear benefit list drives registrations
Course Sales,"Long-form sales page with curriculum and transformation promise","course curriculum modules lessons transformation education",Hero with transformation headline | Instructor bio | Curriculum breakdown | Student results | Pricing with guarantee | FAQ | Enrollment CTA,Online courses and coaching programs and educational content,Curriculum detail plus transformation proof justifies price
Newsletter Signup,"Minimal page focused entirely on email capture","newsletter email subscribe minimal capture",Hero headline with value prop | Email input + CTA button | Sample content preview | Subscriber count | Past issue links,Email newsletters and content creators and media,Minimal friction with strong value prop for email capture
Waitlist Pre-launch,"Coming soon page to collect interest before launch","waitlist coming-soon pre-launch early-access beta",Logo + Headline | Problem/solution brief | Email capture | Position counter | Social share for priority | Feature teaser,Pre-launch products and beta programs and early access,Exclusivity and position tracking motivate early signups
