name,description,keywords,best_for,css_properties,avoid_with,example_sites
Glassmorphism,"Frosted glass effect with transparency, blur, and subtle borders","glass frosted transparent blur modern sleek","SaaS dashboards, fintech apps, modern portfolios","background: rgba(255,255,255,0.15); backdrop-filter: blur(12px); border: 1px solid rgba(255,255,255,0.2); border-radius: 16px","Heavy text content, accessibility-critical sites, low-end devices","Apple Vision Pro site, Linear app"
Claymorphism,"Soft 3D clay-like elements with inner shadows and rounded shapes","clay soft 3d rounded playful fun","Children's apps, creative tools, casual games, onboarding flows","background: #f0f0f0; border-radius: 24px; box-shadow: 8px 8px 16px #d1d1d1, -8px -8px 16px #ffffff, inset 2px 2px 4px rgba(0,0,0,0.1)","Corporate enterprise, financial dashboards, legal sites","Figma community plugins, Duolingo"
Minimalism,"Maximum whitespace, minimal elements, focus on content and typography","minimal clean simple whitespace elegant understated","Portfolios, luxury brands, editorial, photography sites","max-width: 680px; margin: 0 auto; line-height: 1.8; letter-spacing: 0.02em","Gaming, children's products, entertainment, feature-heavy dashboards","Apple.com, Notion, Medium"
Brutalism,"Raw, unpolished aesthetic with bold typography, harsh colors, visible grid","brutal raw bold harsh punk edgy unconventional","Creative agencies, art galleries, music labels, experimental portfolios","font-family: monospace; border: 3px solid black; background: #ff0; text-transform: uppercase","Healthcare, banking, government, senior-focused sites","Bloomberg Businessweek, Balenciaga"
Neumorphism,"Soft extruded plastic look with subtle shadows creating depth","neu soft shadow extruded plastic subtle depth","Settings panels, music players, calculator UIs, smart home dashboards","background: #e0e0e0; box-shadow: 8px 8px 16px #bebebe, -8px -8px 16px #ffffff; border-radius: 12px","Text-heavy sites, e-commerce, high-contrast needs, accessibility-first","Skeuomorphic redesigns, concept UIs"
Bento Grid,"Modular grid layout with varied card sizes like a Japanese bento box","bento grid cards modular mosaic modern layout","Feature showcases, dashboards, portfolios, product pages","display: grid; grid-template-columns: repeat(4, 1fr); gap: 16px; grid-template-rows: auto","Simple single-column content, long-form articles","Apple product pages, Vercel dashboard"
Dark Mode Premium,"Deep dark backgrounds with subtle gradients and luminous accents","dark premium night luxury sophisticated glow","SaaS tools, developer tools, gaming, entertainment, fintech","background: #0a0a0b; color: #e4e4e7; --accent: #6366f1","Print-heavy content, healthcare, children's sites","Linear, Vercel, Raycast"
Retro Futuristic,"Blend of vintage aesthetics with futuristic elements, CRT effects, scan lines","retro future vintage sci-fi synthwave 80s neon","Gaming, music, entertainment, creative agencies, event sites","font-family: 'Press Start 2P'; text-shadow: 0 0 10px #0ff; background: linear-gradient(180deg, #0a0a2e, #1a1a4e)","Corporate, healthcare, education, government","Stranger Things promo sites, synthwave playlists"
Art Deco,"Geometric patterns, gold accents, ornamental borders, roaring twenties elegance","deco gold geometric ornamental elegant gatsby luxury 1920s","Luxury hotels, high-end events, jewelry, fashion, upscale restaurants","border: 2px solid #c9a96e; font-family: 'Playfair Display'; letter-spacing: 0.15em; text-transform: uppercase","Tech startups, budget brands, children's, casual dining","Gatsby-themed events, luxury hotel sites"
Editorial,"Magazine-style layouts with strong typography hierarchy and grid","editorial magazine article typography publication newspaper","Blogs, news sites, long-form content, online magazines, journalism","column-count: 2; font-size: clamp(1rem, 1.5vw, 1.25rem); line-height: 1.75; max-width: 720px","E-commerce, SaaS dashboards, mobile-first apps","NYT, The Verge, Monocle"
Organic,"Natural flowing shapes, earth tones, hand-drawn elements, soft edges","organic natural flowing earth botanical soft curves","Wellness, sustainability, food, beauty, eco brands, farming","border-radius: 50% 40% 60% 50%; background: #f5efe6; color: #3d3229","Tech, gaming, corporate enterprise, fintech","Aesop, Patagonia, Whole Foods"
Luxury,"Premium feel with ample whitespace, gold/black palette, refined typography","luxury premium high-end exclusive elegant sophisticated","Fashion houses, jewelry, watches, premium automotive, fine dining","letter-spacing: 0.2em; font-weight: 300; line-height: 2; padding: 80px 0","Budget brands, SaaS, startups, gaming","Chanel, Rolex, Rolls-Royce"
Playful,"Bright colors, rounded shapes, bouncy animations, friendly personality","playful fun bright bouncy friendly colorful cartoon","Children's apps, casual games, social platforms, creative tools","border-radius: 999px; animation: bounce 0.6s ease; background: linear-gradient(135deg, #ff6b6b, #feca57)","Legal, healthcare, finance, government, B2B enterprise","Duolingo, Headspace, Figma"
Industrial,"Exposed structure, monospace fonts, raw materials feel, grid systems","industrial raw factory mechanical technical blueprint","Architecture firms, construction, engineering, manufacturing, hardware","font-family: 'IBM Plex Mono'; background: #1a1a1a; border: 1px solid #333; text-transform: uppercase","Beauty, children's, luxury lifestyle, wellness","Blueprint-style portfolios, Teenage Engineering"
