source_id,source_path,md5,bytes,class,orig_status,coverage_proof,signal_now_in,retrieval_test,retirement_state,backup_path,operator_approval
LIGHT__Lecture_10_related._Broad-Lighting,/Users/sniper/Downloads/    SNIPED_OS/10_REFERENCE/lighting_pdfs/Lecture+10+related.+Broad-Lighting.pdf,b505cfa88cd89881d6f0c12a3bdc733e,1196339,source,needs_ocr,2/2 pages,_reference/LIGHTING_TECHNIQUE_CARDS.md,"In the Broad Lighting diagram, what modifier is on the key light, where is it placed relative to the camera, and what is the power setting?",COLD_ARCHIVE_OK,"cold-archive (default), original stays in place this wave",PENDING (no move/delete in Wave 001)
LIGHT__Lecture_10_related._Hollywood-3-Light,/Users/sniper/Downloads/    SNIPED_OS/10_REFERENCE/lighting_pdfs/Lecture+10+related.+Hollywood-3-Light.pdf,583993f08ce19f3e3da155ca9b37068b,935085,source,needs_ocr,2/2 pages,_reference/LIGHTING_TECHNIQUE_CARDS.md,"In the Hollywood 3-Light setup, what modifier is on each of the three lights, what are their power outputs in Ws, and which light acts as the rim?",COLD_ARCHIVE_OK,"cold-archive (default), original stays in place this wave",PENDING (no move/delete in Wave 001)
LIGHT__Lecture_11_related._Rembrandt-Lighting,/Users/sniper/Downloads/    SNIPED_OS/10_REFERENCE/lighting_pdfs/Lecture+11+related.+Rembrandt-Lighting.pdf,eaa05ae75a61e99053211d84c1beceaa,1034881,source,needs_ocr,2/2 pages,_reference/LIGHTING_TECHNIQUE_CARDS.md,"In the Rembrandt Lighting diagram, what is the height of the speedlight, what is its pitch angle, and is there a fill light?",COLD_ARCHIVE_OK,"cold-archive (default), original stays in place this wave",PENDING (no move/delete in Wave 001)
LIGHT__Lecture_16_related._45-Degree-Angle-Slims-Body,/Users/sniper/Downloads/    SNIPED_OS/10_REFERENCE/lighting_pdfs/Lecture+16+related.+45-Degree-Angle-Slims-Body.pdf,6e924d1d123455983a4f7116a80874b1,992545,source,needs_ocr,2/2 pages,_reference/LIGHTING_TECHNIQUE_CARDS.md,"In the 45-Degree Angle Slims Body setup, what two modifiers are used, on which sides are they placed, and what body angle is the subject posed at relative to the camera?",COLD_ARCHIVE_OK,"cold-archive (default), original stays in place this wave",PENDING (no move/delete in Wave 001)
LIGHT__Lecture_17_related._Stretch-Things-Forward-Female,/Users/sniper/Downloads/    SNIPED_OS/10_REFERENCE/lighting_pdfs/Lecture+17+related.+Stretch-Things-Forward-Female.pdf,7ed177d5542605b252f45f8189a977fd,1039740,source,needs_ocr,2/2 pages,_reference/LIGHTING_TECHNIQUE_CARDS.md,"What modifier is on the key light in the Stretch Things Forward Female setup, and what is its power ratio relative to the fill?",COLD_ARCHIVE_OK,"cold-archive (default), original stays in place this wave",PENDING (no move/delete in Wave 001)
LIGHT__Lecture_18_related._The-Male-Light-Pose,/Users/sniper/Downloads/    SNIPED_OS/10_REFERENCE/lighting_pdfs/Lecture+18+related.+The-Male-Light-Pose.pdf,df6cb50488a161663a950c24bcef1c25,1125581,source,needs_ocr,2/2 pages,_reference/LIGHTING_TECHNIQUE_CARDS.md,"What is the body yaw angle of the male subject in The Male Light Pose setup, and how does it differ from the female pose in the stretch setup?",COLD_ARCHIVE_OK,"cold-archive (default), original stays in place this wave",PENDING (no move/delete in Wave 001)
LIGHT__Lecture_19_related._The-Female-Shadow-Pose,/Users/sniper/Downloads/    SNIPED_OS/10_REFERENCE/lighting_pdfs/Lecture+19+related.+The-Female-Shadow-Pose.pdf,a15d99d17287df2cd5b6b1219a7d8fc6,1006486,source,needs_ocr,2/2 pages,_reference/LIGHTING_TECHNIQUE_CARDS.md,"In The Female Shadow Pose setup, which direction is the female subject's body yawed and what effect does this have on the shadow placement relative to the female stretch pose?",COLD_ARCHIVE_OK,"cold-archive (default), original stays in place this wave",PENDING (no move/delete in Wave 001)
LIGHT__Lecture_20_related._Standard-Group-Shot,/Users/sniper/Downloads/    SNIPED_OS/10_REFERENCE/lighting_pdfs/Lecture+20+related.+Standard-Group-Shot.pdf,2ef86a31ba4d828fb09a065b69d56ae4,1467625,source,provisional_chunked_not_certified,2/2 pages,_reference/LIGHTING_TECHNIQUE_CARDS.md,"How many lights are used in the Standard Group Shot setup, what modifier type is on each, and what is the power setting on all lights?",COLD_ARCHIVE_OK,"cold-archive (default), original stays in place this wave",PENDING (no move/delete in Wave 001)
LIGHT__Lecture_21_related._Standard-Couples,/Users/sniper/Downloads/    SNIPED_OS/10_REFERENCE/lighting_pdfs/Lecture+21+related.+Standard-Couples.pdf,cc7d9c5189b06a29938de77bbf9c6779,1230024,source,provisional_chunked_not_certified,2/2 pages,_reference/LIGHTING_TECHNIQUE_CARDS.md,"What modifiers are used on all four lights in this couples setup, and how are they arranged relative to the subjects?",COLD_ARCHIVE_OK,"cold-archive (default), original stays in place this wave",PENDING (no move/delete in Wave 001)
LIGHT__Lecture_2_related._Home-Based-Studio,/Users/sniper/Downloads/    SNIPED_OS/10_REFERENCE/lighting_pdfs/Lecture+2+related.+Home-Based-Studio.pdf,013b3ee6b5d9dd8000e0a06705fba905,1104210,source,needs_ocr,2/2 pages,_reference/LIGHTING_TECHNIQUE_CARDS.md,"What is the fill light modifier and its power relative to the key light in this home studio setup, and what prevents wall bounce?",COLD_ARCHIVE_OK,"cold-archive (default), original stays in place this wave",PENDING (no move/delete in Wave 001)
