img,doc_number,doc_name,class,confidence
IMG_9420,1,Founder Agreement,legal_template,legal-review-needed
IMG_9419,2,Incorporation Documents,legal_filing,legal-review-needed
IMG_9418,3,Co-founder Exit Clause,legal_template,legal-review-needed
IMG_9417,4,Shareholders Agreement,legal_template,legal-review-needed
IMG_9416,5,Cap Table,finance_template,provisional
IMG_9415,6,ESOP Agreement,legal_template,legal-review-needed
IMG_9414,7,NDA,legal_template+gate,legal-review-needed
IMG_9413,8,IP Assignment Agreement,legal_template+gate,legal-review-needed
IMG_9412,9,Trademark / IP Documents,legal+name_gate,legal-review-needed
IMG_9411,10,Employee Contracts,legal_template,legal-review-needed
IMG_9410,11,Offer Letters,hr_template,legal-review-needed
IMG_9409,12,HR Policies,policy_template,legal-review-needed
IMG_9408,13,Terms of Service,legal_policy+launch_req,legal-review-needed
IMG_9407,14,Privacy Policy,legal_policy+proof_req,legal-review-needed
IMG_9406,15,Legal Compliance Docs,checklist,legal-review-needed
IMG_9405,16,Pitch Deck,template,proof-needed
IMG_9404,17,Financial Model,finance_template+dashboard,provisional
IMG_9403,18,Term Sheet,legal_template,legal-review-needed
