"task_type","routed_to","gate_named","retrieval_pass","provisional_or_excluded"
"world_build","/Users/sniper/AI-Brain-Refinery/00_COMMAND_CENTER/OS_PHASE1_ATOM.md; /Users/sniper/AI-Brain-Refinery/00_COMMAND_CENTER/OS_PHASE3_FACELOCK.md; sniped-crs-builder (skill); os-world-bible (skill); os-face-lock (skill)","os_crs.py gate (identity-consistency gate) + os_world.py continuity gate + os_motion_ready.py (motion-readiness gate, requires all 6 gates to pass before any generation spend)","true","SREF/style slot codes are marked TBD-manual-pull (no in-OS Midjourney route yet, provisional: scrape-dated per RULE in OS_ROUTER_INDEX). Public name for AXIS and MERIDIAN-HOUSE is deferred pending name-availability gate. The face-match proxy is structural (SSIM only), not identity embeddings -- honest limitation carried forward until an ONNX ArcFace embedding model is added. No generation or credit spend occurs until os_motion_ready.py returns READY and operator gives explicit spend approval."
"image_direction","/Users/sniper/AI-Brain-Refinery/00_COMMAND_CENTER/_reference/SREF_LIBRARY.md; banana-pro-director; sniped-seedream-prompt; sniped-ai-image-tool-pick","stale-tool gate (OS_FIELD_MANUAL_INDEX.md): SREF codes are scrape-dated; attach [provisional: scrape-dated, verify before commit] and verify the look before any client use","true","All SREF codes carry [provisional: scrape-dated, verify before commit]. These are community codes extracted from an X/Twitter scrape of Midjourney v8.1 SREF shares, not SNIPED-authored. Use as a starting palette; verify the look before any client use."
"video_production","/Users/sniper/AI-Brain-Refinery/00_COMMAND_CENTER/OS_CAMPAIGN_HOUSE_PIPELINE.md; /Users/sniper/AI-Brain-Refinery/00_COMMAND_CENTER/_reference/STORY_DOCTRINE_MCKEE.md; kling-production-sop (skill); cinema-worldbuilder (skill); sniped-direction-stack (skill)","STORY_GATE (9-question proof checklist: tension, feeling, desire/status, hook, payoff, character/world, withhold/reveal, sequence logic (but/therefore), source cards; defined in OS_STORY_PSYCHOLOGY_OPERATIONALIZATION_DASHBOARD.md and named in OS_ROUTER_INDEX.md as the check for story/film craft work). Pipeline gates also include: reject gates (plastic skin/identity drift/AI tells) at Stage 7 image generation, composite/physics QA at Stage 8 motion generation, Three-Tier Polish + beat-source gate at Stage 9 edit/finish, and proof-before-crowning at Stage 13 kill/keep/scale.","true","SREF codes in _reference/SREF_LIBRARY are marked provisional/scrape-dated (attach [provisional: scrape-dated, verify before commit] before use). Field Manual Section B tool names (Blender/Unreal MCP, faceless-YouTube) are also scrape-dated per the stale-tool gate. Any of the ~215 books not in the cert ledger are provisional_chunked and cannot anchor major decisions. The brand/positioning and outreach/sales rows in the router are tagged hypothesis, not active certified. Style-ref system (Stage 3 in the pipeline) is flagged as DRY-RUN-001 BUG-1: no in-OS route; SREF codes must be pulled manually from Midjourney/Twitter and are excluded from automation."
"copy","/Users/sniper/AI-Brain-Refinery/00_COMMAND_CENTER/_reference/COPY_DOCTRINE_CAPLES_TESTED_ADVERTISING.md; sniped-positioning-phrases; sniped-caption-writer","PROVISIONAL-BOOK ROUTER RULE gate (OS_ROUTER_INDEX.md): certified-coverage sources cite freely; provisional/source_uncertified must carry that label and cannot anchor a major decision. The copy doctrine for Hopkins/Schwartz/Ogilvy is marked ""certified + conflict_preserved"" in the DOCTRINE CONFIDENCE LABELS table, meaning both long-copy and brevity positions must be presented, never one forced rule. The stale-tool gate (Wave 001-B RULE row) applies to any SREF codes or section B/F tool names: attach [provisional: scrape-dated, verify before commit].","true","The copy doctrine is marked ""certified-coverage"" and ""complements the existing certified copy doctrine (Hopkins/Schwartz/Ogilvy, conflict_preserved)."" The conflict-preserved label means the long-copy position (Caples/Hopkins) and the brevity position (Ogilvy) must both be presented; neither is the forced single rule. The ""brand/positioning"" and ""outreach/sales"" domains in the router are marked ""hypothesis"" (not certified). The ~193 other books listed in the DOCTRINE CONFIDENCE LABELS table are ""provisional_chunked"" and can only inform, never anchor a major decision. ""hit_mechanics"" (Hit Makers) is ""source_uncertified"" (source missing). ""new_luxury"" (Trading Up) is ""source_uncertified"" (source unextracted)."
"sales / cold outreach","/Users/sniper/AI-Brain-Refinery/00_COMMAND_CENTER/_reference/COLD_OUTREACH_ATOMS.md; /Users/sniper/AI-Brain-Refinery/.claude/skills/sniped-vib-outreach/SKILL.md; skill: sniped-vib-outreach","OS_FIELD_MANUAL_INDEX stale-tool gate (COLD_OUTREACH_ATOMS carries ""tactics are point-in-time, verify tool names and deliverability rules before use""; sniped-vib-outreach SKILL.md enforces WWP positioning rules as a hard refuse gate blocking off-ICP and off-structure copy)","true","Tool names cited in the atoms (Million Verifier, Apollo-to-Clay-to-GPT-4o-mini pipeline) are marked scrape-dated and require verification before committing to stack. The sniped-vib-outreach skill is scoped to LA-founder DMs at $1,500+ tier; generic mass-email campaigns are excluded from that skill path. The original router row for this domain was tagged ""hypothesis"" but Wave 001 certification superseded it to ""active certified-coverage."""
"pricing","/Users/sniper/AI-Brain-Refinery/00_COMMAND_CENTER/OS_ROUTER_INDEX.md (row: pricing / intel_pricing_logic, status: certified); /Users/sniper/AI-Brain-Refinery/00_COMMAND_CENTER/scripts/os_pricing_gate.py; /Users/sniper/AI-Brain-Refinery/.claude/skills/sniped-pricing-decision/SKILL.md","os_pricing_gate.py (commands: check / options / doctrine). Check gate enforces value-basis and floor-price per tier; verdict is HOLD-PRICE or REPRICE. Active tiers: demo $2500, spec $1500, campaign_pkg $6000, world_build $12500, ip_system $25000. Run: `python os_pricing_gate.py check --tier <tier> --price N --basis value`","true","OLD SNIPED photo tiers (Reset, Op Kit, Brand System at old rates) are FALLBACK ONLY, not the default anchor. The router marks `hit_mechanics (Hit Makers)` as source_uncertified (source MISSING) and `new_luxury (Trading Up)` as source_uncertified (source unextracted). The intel_pricing_logic source is Blair Enns ""Pricing Creativity"" (batch_003_extracted/pricing_creativity_enns.md); it is certified-doctrine per OS_BOOK_DOCTRINE_RECONCILIATION_REPORT. Any book not on the certified list is provisional_chunked and must carry a label when cited."
"photo_craft","/Users/sniper/AI-Brain-Refinery/00_COMMAND_CENTER/_reference/LIGHTING_TECHNIQUE_CARDS.md; /Users/sniper/AI-Brain-Refinery/00_COMMAND_CENTER/_reference/PHOTO_CRAFT_ATOMS_WAVE001.md; sniped-lighting-vault (skill); sniped-photo-theory (skill)","OS_FIELD_MANUAL_INDEX stale-tool gate (cited in OS_ROUTER_INDEX Wave 001 binding rule: ""SREF codes and section B/F tool names are scrape-dated; attach [provisional: scrape-dated, verify before commit]""); additionally the adversarial-verify gate (PASS 8.5/10 for LIGHTING_TECHNIQUE_CARDS, PASS 9/10 for PHOTO_CRAFT_ATOMS_WAVE001) is the coverage certification gate before any reference file becomes canonical.","true","The router marks approximately 193 other books as ""provisional_chunked"" (inform only, label provisional). The photo-theory layer from intel_photo_theory (Sontag/Berger/Freeman) is certified but carries a ""conflict_preserved"" label (three lenses, do not flatten the taken-vs-made tension). Hit mechanics (Hit Makers) is source_uncertified. SREF codes in the AI-image domain row are provisional/scrape-dated. No exclusion applies to the two files routed here: both are active certified-coverage."
"source_retirement","/Users/sniper/AI-Brain-Refinery/00_COMMAND_CENTER/OS_GAP_CLOSURE_WAVE_001B/RETIREMENT_PLAN_001.md; /Users/sniper/AI-Brain-Refinery/00_COMMAND_CENTER/OS_GAP_CLOSURE_WAVE_001B/RETIREMENT_APPROVAL_PACKET.md; /Users/sniper/AI-Brain-Refinery/00_COMMAND_CENTER/OS_GAP_CLOSURE_WAVE_001/SOURCE_RETIREMENT_RECEIPTS.csv; /Users/sniper/AI-Brain-Refinery/00_COMMAND_CENTER/OS_GAP_CLOSURE_WAVE_001B/SOURCE_RETIREMENT_RECEIPTS.csv; /Users/sniper/AI-Brain-Refinery/00_COMMAND_CENTER/OS_SOURCE_PRIORITY_RULES.md","SOURCE_RETIREMENT_RECEIPTS gate: each source must have a per-row receipt proving identity (path + md5 + size), 100 percent coverage (whole-read or whole-view ledger, no sampling), signal extracted into an active OS form (`signal_now_in` field), and a retrieval test answered without the original. Operator approval must be explicit before any move or deletion. Until approval, retirement_state stays PENDING and nothing is moved or deleted.","true","Any source NOT in SOURCE_RETIREMENT_RECEIPTS.csv lacks a retirement receipt and cannot be deleted at all. Sources classified DO_NOT_DELETE (e.g., ALMA_DROP_ENGINE_DECK.pdf, the project original-of-record) are hard-excluded from any archive move. Sources still classified provisional_chunked_not_certified are not archive-eligible until coverage is proven. The RETIREMENT_APPROVAL_PACKET.md notes that production assets (renders, masters, project files) are out of scope for the source-retirement gate and need a separate production-asset cleanup pass. Books/sources that are source_uncertified in the doctrine confidence table cannot even be cited as settled fact, let alone deleted."
"os_gap_closure","/Users/sniper/AI-Brain-Refinery/00_COMMAND_CENTER/OS_ROUTER_INDEX.md (domain: corpus certification); /Users/sniper/AI-Brain-Refinery/00_COMMAND_CENTER/OS_CERTIFICATION_REPORT.md; /Users/sniper/AI-Brain-Refinery/00_COMMAND_CENTER/OS_CERTIFICATION_STANDARD.md; skill: os_certify, os_segment_ledger, os-token-safe-reader","OS_CERTIFICATION_STANDARD Hard Rule 7 + os_certify.py enforcement gate: no doctrine is promoted without source-class confidence attached; certification = (class rule satisfied) AND (proof artifact present) AND (status in allowed set). The segment-LEDGER primitive is the per-file gate: segments_total == segments_read with offsets and checksums. Additionally, the PROVISIONAL-BOOK ROUTER RULE in OS_ROUTER_INDEX.md acts as the routing-level gate: any book without a segment ledger is blocked from being cited as final fact.","true","82% of content volume (25.0M words) is provisional: the big book layer (founder bios, photography canon, strategy/finance classics) and 279 docx sources. 13% (3.96M words) is characterized only (the 5 giant raw dumps). OS_CERTIFICATION_REPORT.md explicitly states these cannot anchor major decisions and must carry the provisional label. Three specific doctrine sources are source_uncertified and cannot be cited as final: Hit Makers (source missing), Trading Up (unextracted), 7 Powers (not extracted). The 193 remaining classic books carry the tag: provisional_chunked_not_certified. Generated OS artifacts (390,654 words, 73 files) are excluded from source coverage entirely."
"lane_strategy","/Users/sniper/AI-Brain-Refinery/00_COMMAND_CENTER/OS_ROUTER_INDEX.md; /Users/sniper/AI-Brain-Refinery/00_COMMAND_CENTER/LANE_DISCOVERY_LEDGER.md","proof-before-crowning gate","false","All four lane candidates are explicitly uncrowned. H2 (AI workflow commissioning certificate) is partially killed: the certificate-buying mechanism is disconfirmed. H3-as-churches is structurally killed (990 exemption). Candidate #4 (proprietary world/IP) has engine proof but zero demand evidence, rated distribution-weak (taste-driven not network-driven). No lane may be presented as the answer; all are marked candidates in the ledger. The STANDING RULE from entry 001 applies: synthesis alone cannot produce the lane declaration."
