source,kind,chunks,nodes,confidence
ADVERTISING_RECOVERY,family,16,copy,HIGH
B2B_POSITIONING_CLAUDE_OPERATOR,family,8,trust_sales;automation_toolchain,HIGH
BATCH_001,family,106,narrative_canon,LOW
BATCH_002,family,152,narrative_canon,LOW
BATCH_003,family,103,founder_operations,LOW
BATCH_004,family,96,strategy_war,LOW
BATCH_005,family,161,visual_grade;motion,HIGH
BATCH_006,family,114,trust_sales,LOW
BATCH_007,family,128,pricing_offer,LOW
BATCH_008,family,120,distribution_hook,LOW
BATCH_009,family,76,decision_judgment,LOW
BATCH_009_EXPANSION,family,22,decision_judgment,LOW
BATCH_010,family,45,automation_toolchain,LOW
BIOGRAPHY_FOUNDER_MEDIA,family,22,leverage_ownership;founder_operations,HIGH
BRAND_CANON,family,15,copy;layout_type,HIGH
CLASSICAL_HISTORY,family,18,strategy_war;narrative_canon,HIGH
CLASSICAL_STRATEGY,family,18,strategy_war,HIGH
CLAUDE_OPERATOR_DOCS,family,26,automation_toolchain;self_optimization,HIGH
CONSULTING_SERVICE,family,15,trust_sales;pricing_offer,HIGH
CULTURE_AND_STATUS,family,16,status_culture,HIGH
DECISION_JUDGMENT_COGNITION,family,12,decision_judgment,HIGH
DECISION_JUDGMENT_CROWDS,family,14,decision_judgment;distribution_hook,HIGH
DECISION_JUDGMENT_MEANING,family,9,decision_judgment;narrative_canon,HIGH
DECISION_SYSTEMS_SUPP,family,18,decision_judgment,HIGH
DEEP_FINANCE_EXPANSION,family,27,leverage_ownership;pricing_offer,HIGH
EDGE_AND_OPERATING_DISCIPLINE,family,11,safety_identity;founder_operations,HIGH
EXPERTISE_CREATIVITY,family,11,decision_judgment;visual_grade,HIGH
FASHION_LUXURY_CULTURE,family,13,status_culture;layout_type,HIGH
FASHION_LUXURY_STRATEGY,family,13,status_culture;pricing_offer,HIGH
FOUNDER_FASHION_RECOVERY,family,16,status_culture;founder_operations,HIGH
FOUNDER_SECOND_TIER,family,20,founder_operations,HIGH
HIGH_LEVEL_CONVOS,family,25,strategy_war;decision_judgment,HIGH
HISTORICAL_BIOGRAPHY,family,16,strategy_war;leverage_ownership,HIGH
INTELLECTUAL_ARTIST_FRAME,family,7,narrative_canon;visual_grade,HIGH
LEADERSHIP_MGMT,family,16,founder_operations,HIGH
LEADERSHIP_SUPP,family,12,founder_operations,HIGH
LITERARY_CANON_BLACK,family,28,narrative_canon;world_character,HIGH
LITERARY_CANON_DYSTOPIAN,family,17,narrative_canon,HIGH
LITERARY_CANON_GENERAL,family,32,narrative_canon,HIGH
LITERARY_RECOVERY,family,14,narrative_canon,HIGH
MEDIA_BUSINESS,family,17,distribution_hook;leverage_ownership,HIGH
MEDIA_BUSINESS_RECOVERY,family,15,distribution_hook,HIGH
MODERN_COMMAND_NAPOLEON,family,14,strategy_war,HIGH
MONEY_OWNERSHIP,family,21,leverage_ownership;pricing_offer,HIGH
N8N_AUTOMATION_SYSTEMS,family,18,automation_toolchain,HIGH
NETWORK_DISTRIBUTION,family,16,distribution_hook,HIGH
ONWARD_TURNAROUND,family,12,founder_operations,HIGH
OPERATING_FOUNDER_OPERATIONS,family,14,founder_operations,HIGH
OPERATING_FOUNDER_SCALING,family,11,founder_operations,HIGH
OPERATING_FOUNDER_STARTUP,family,15,founder_operations;safety_identity,HIGH
OPPORTUNITY_MANAGEMENT_TEMPLATES,family,4,founder_operations;decision_judgment,HIGH
PERSONAL_OPERATING_CODE,family,9,safety_identity;self_optimization,HIGH
PERSUASION_RECOVERY,family,15,copy;trust_sales,HIGH
POLITICAL_THEORY_DISCOURSES,family,12,strategy_war,HIGH
POSITIONING_DISRUPTION,family,11,trust_sales;strategy_war,HIGH
PROMPT_TEMPLATES_DEEP,family,12,automation_toolchain,HIGH
STORYTELLING_NARRATIVE,family,15,narrative_canon;world_character,HIGH
SYSTEMS_THINKING,family,12,decision_judgment;self_optimization,HIGH
TIER_2_GREENE_STRATEGY,family,16,strategy_war,HIGH
TOOLCHAIN_DISTRIBUTION_SUPP,family,12,automation_toolchain;distribution_hook,HIGH
feedback_composite_environment_rotation,atom,1,world_character;layout_type,CERTIFIED
feedback_capability_growth_mandate,atom,1,self_optimization,CERTIFIED
intel_strategic_implications,atom,1,strategy_war,CERTIFIED
intel_trust_mechanics,atom,1,trust_sales,CERTIFIED
feedback_skill_activation_contract,atom,1,automation_toolchain,CERTIFIED
feedback_proof_over_packaging,atom,1,founder_operations,CERTIFIED
intel_blockbuster_strategy,atom,1,distribution_hook,CERTIFIED
project_sniped_spine,atom,1,strategy_war,CERTIFIED
feedback_google_account_bridge_temp,atom,1,safety_identity,CERTIFIED
intel_new_luxury,atom,1,pricing_offer;status_culture,CERTIFIED
feedback_scene_density_thinking,atom,1,world_character,CERTIFIED
intel_hit_mechanics,atom,1,distribution_hook,CERTIFIED
intel_analog_premium,atom,1,leverage_ownership;status_culture,CERTIFIED
project_sniped_spine_portable,atom,1,strategy_war,CERTIFIED
feedback_os_engagement_protocol,atom,1,self_optimization,CERTIFIED
feedback_lineage_doctrine,atom,1,world_character,CERTIFIED
intel_perennial_logic,atom,1,leverage_ownership,CERTIFIED
intel_status_psychology,atom,1,status_culture,CERTIFIED
feedback_platform_split,atom,1,distribution_hook,CERTIFIED
feedback_possibility_engine_optionality,atom,1,safety_identity,CERTIFIED
feedback_payment_follows_proof,atom,1,pricing_offer;safety_identity,CERTIFIED
intel_pricing_logic,atom,1,pricing_offer,CERTIFIED
feedback_extraction_audit_gate,atom,1,self_optimization,CERTIFIED
project_starthere_certified,atom,1,visual_grade;self_optimization,CERTIFIED
feedback_referral_handling,atom,1,trust_sales,CERTIFIED
intel_photo_theory,atom,1,visual_grade;motion,CERTIFIED
feedback_repetition_over_novelty,atom,1,founder_operations,CERTIFIED
intel_ai_sentiment,atom,1,trust_sales,CERTIFIED
project_sniped_media,atom,1,self_optimization,CERTIFIED
feedback_operating_constraints,atom,1,safety_identity;founder_operations,CERTIFIED
feedback_execution_governor,atom,1,founder_operations;self_optimization,CERTIFIED
project_sniped_meta_thesis,atom,1,leverage_ownership;narrative_canon,CERTIFIED
intel_company_of_one,atom,1,leverage_ownership,CERTIFIED
feedback_execution_mode,atom,1,founder_operations,CERTIFIED
feedback_book_doctrine_reconciliation,atom,1,self_optimization,CERTIFIED
feedback_name_availability_gate,atom,1,decision_judgment,CERTIFIED
feedback_max_default,atom,1,decision_judgment,CERTIFIED
feedback_carousel_attribution,atom,1,copy,CERTIFIED
intel_wwp_proclamations,atom,1,copy,CERTIFIED
project_kots_institutional_reframe,atom,1,founder_operations,CERTIFIED
intel_trust_equation,atom,1,trust_sales,CERTIFIED
project_campaign_house_build,atom,1,self_optimization,CERTIFIED
project_os_self_optimization_layer,atom,1,self_optimization,CERTIFIED
feedback_casting_call_doctrine,atom,1,founder_operations,CERTIFIED
feedback_visual_direction_luxury_editorial,atom,1,visual_grade,CERTIFIED
feedback_dm_voice,atom,1,copy,CERTIFIED
feedback_full_os_synthesis_every_answer,atom,1,decision_judgment,CERTIFIED
feedback_hardest_to_say_no,atom,1,trust_sales,CERTIFIED
user_role,atom,1,safety_identity,CERTIFIED
intel_leverage_logic,atom,1,leverage_ownership,CERTIFIED
intel_hospitality_layer,atom,1,trust_sales,CERTIFIED
feedback_strongest_photograph_not_most_processed,atom,1,visual_grade,CERTIFIED
feedback_bw_card_dual_register,atom,1,world_character;layout_type,CERTIFIED
intel_distribution_mechanics,atom,1,distribution_hook,CERTIFIED
feedback_ein_correction_gate,atom,1,pricing_offer,CERTIFIED
feedback_edit_register_bifurcation,atom,1,visual_grade,CERTIFIED
feedback_certification_standard,atom,1,self_optimization,CERTIFIED
feedback_connected_toolchain_default,atom,1,automation_toolchain,CERTIFIED
feedback_full_engagement_before_direction,atom,1,decision_judgment,CERTIFIED
feedback_linkedin_comment_doctrine,atom,1,distribution_hook,CERTIFIED
feedback_use_outbound_stack,atom,1,trust_sales;automation_toolchain,CERTIFIED
intel_positioning_phrases,atom,1,copy,CERTIFIED
feedback_read_whole_then_distill,atom,1,self_optimization,CERTIFIED
feedback_capability_proof_bar,atom,1,safety_identity,CERTIFIED
feedback_old_work_informs_proof_decides,atom,1,decision_judgment,CERTIFIED
intel_ai_photographer_market,atom,1,visual_grade;trust_sales,CERTIFIED
