id,path,role,freshness,ingestion_status,risk,use_when,never_use_for,supports
command_center,/Users/sniper/AI-Brain-Refinery,command_center,current,already_wired,safe,every decision + execution; this is the root,n/a,all projects + gates + libraries
alma_active,/Users/sniper/AI-Brain-Refinery/ALMA_LOVE_PRODUCTION_001,active_project,active,already_wired,contains_client_info,Alma Love edits/selects/exports,strategy answers unrelated to Alma,commercial edit + photo/video package
sniped_os_legacy,/Users/sniper/Downloads/    SNIPED_OS,legacy_os,legacy,needs_index,stale_doctrine_risk,deep doctrine/history/books/prompts/frameworks when current OS lacks it,current-state truth (newer AI-Brain-Refinery wins),brand strategy + book frameworks + creative systems history
bj_wiki,/Users/sniper/Documents/BJ-WIKI,books_frameworks,active,needs_compression,safe,long-term memory / second brain synthesis (10 domains),fast tactical execution; do not git add -A here,strategy + identity + framework recall
sniped_media_web,/Users/sniper/sniped-media,active_project,legacy,needs_index,safe,the web/site project (Carrd/site code),photo/video edit decisions,site copy + web deploy
photo_pictures,/Users/sniper/Pictures,media_assets,active,media_only,contains_client_info,project-specific photo builders need raws (CR3/xmp),strategy answers; do not crawl for text,photo editing workflow + grade presets
lightroom_catalog,/Users/sniper/Pictures/Lightroom,media_assets,active,media_only,too_large,Lightroom catalog for photo workflow,text/strategy reads,photo editing workflow
documents_photography,/Users/sniper/Documents/Photography,media_assets,unknown,needs_index,contains_client_info,photo reference/archive when a shoot needs it,strategy answers,photo workflow
claude_business,/Users/sniper/ClaudeBusiness,client_files,unknown,needs_index,contains_client_info,business/admin/client files when a client decision needs records,creative taste answers,client strategy + offers + records
downloads,/Users/sniper/Downloads,archive,unknown,needs_index,duplicate,intake/staging only; new source material lands here,current truth; never treat as canon without freshness check,intake -> staging into OS
desktop,/Users/sniper/Desktop,archive,unknown,needs_index,duplicate,scratch/in-flight files,canon truth,temporary work surface
ignore_caches,~/Library + **/.git + **/node_modules + **/.cache + **/*.lrdata,dangerous_ignore,n/a,ignore,too_large,never,everything,nothing
