item,rail,category,subject,day,captured,edited,delivered,destination,owner,notes
EXAMPLE - opening round gallery,PHOTO,game_action,Vanguard v North Marion,Dec 28,N,N,N,coaches_teams,BJ,Deliver team galleries within 72 hrs
EXAMPLE - Haley Court signature,PHOTO,legacy_details,Jim Haley Court floor,Dec 27,N,N,N,archive,BJ,Day-one priority; doubles as signature-recreation source
EXAMPLE - sponsor signage AdventHealth,SPONSOR,sponsors,AdventHealth banner,Dec 28,N,N,N,sponsors/adventhealth,BJ,Legible straight-on frame
EXAMPLE - dunk contest,PHOTO,game_action,Dunk contest,Dec 30,N,N,N,social_ready,BJ,Peak reel material; tag contest sponsor
EXAMPLE - championship + trophy,PHOTO,awards_ceremony,Champion + trophy,Dec 31,N,N,N,archive,BJ,Hero set; feeds champions roll
EXAMPLE - MVP + All-Tournament,PHOTO,awards_ceremony,MVP and all-tournament team,Dec 31,N,N,N,archive,BJ,Archive + social
EXAMPLE - day-1 recap reel,SOCIAL,behind_the_scenes,Day 1 recap,Dec 28,N,N,N,social_ready,Kingdom social,Nightly recap cadence
EXAMPLE - NFHS watch link push,SOCIAL,,Watch link,Dec 28,N,N,N,social_ready,Kingdom social,Morning slate post each day
EXAMPLE - sponsor recap one-pager Crown,SPONSOR,recap,Title sponsor recap,Post,N,N,N,sponsors,Kingdom,Within one week; renewal hook
EXAMPLE - site recap page,SOCIAL,recap,Recap 2026 page,Post,N,N,N,site,BJ,Within two weeks; updates champions roll
