tool,classification,range_unlocked,output_requiring_it,beyond_current_scripts,usable_today,immediate_action,trigger_input,proving_artifact,gate,current_substitute
Higgsfield Nano Banana (nano_banana_pro),USE_NOW,premium 4K faceless stills,"any hero, any world","photoreal worlds at 4K, text-in-image",yes,keep using,new world / new hero / 4K upgrade,DEED+LOT00 4K,os_postproduction_gate,none(it is the stills engine)
Higgsfield Seedance (video),USE_NOW,generated motion shots,any moving shot from a still,brings a still alive,yes,keep using,trailer/teaser/motion shot,DEED 4s clip,os_motion_qa,none
Adobe MCP image_crop_and_resize,USE_NOW,AI subject-aware crop/social variants,tight product/face/object crops,detects the subject server-side,yes,keep using,"social variation, tight crop",DEED 1:1 crop,postproduction_gate,local center-crop(weaker)
Adobe MCP image_remove_background,USE_NOW,true cutouts (transparent),"drop mockups, composite elements",AI cutout Pillow cannot do,yes,PROVEN today,mockup / sticker / composite,DEED cutout PNG (RGBA),visual verify,none local
Adobe MCP image_generative_expand (Firefly),USE_NOW,extend canvas / banners,"wide banners, masthead headroom, aspect change",Firefly generates new matching content,yes,PROVEN today,"banner, reframe to wide",DEED 2005x1400 banner,visual verify,none(generative)
Adobe MCP image_select_by_prompt,TEST_NOW,masked region edits / retouch,targeted local adjustments,prompt-driven masks + body parts,yes,"mask the seal, adjust","retouch a region, recolor",(pending test),visual verify,Pillow masks(crude)
Adobe MCP document_render_layout (InDesign),TEST_NOW,world-class multi-page typeset PDF,"premium client decks, lookbooks",real InDesign typesetting,yes,render a small .idml,"client deck, lookbook",(needs template),deck review,Pillow PDF(decent)
Adobe MCP document_merge (InDesign/Illustrator),INPUT_SPECIFIC,batch variable-data assets,"numbered certs, labels, localized sets",CSV->N typeset outputs,yes,merge a 3-row CSV,edition of 250 numbered certs,(needs template),count==rows,Pillow numbering(crude)
Adobe MCP video_create_quick_cut,TEST_NOW,AI highlight reel from video,auto social cutdowns,picks engaging moments,yes,upload clip + quick_cut,long clip -> short reel,(pending),motion gate,ffmpeg(manual)
Adobe MCP video_resize,INPUT_SPECIFIC,platform video resize,aspect changes on real video,server-side resize,yes,resize a clip,reel/banner video sizes,(pending),ffprobe dims,ffmpeg(covers)
Adobe Express search_design/fill_text,AVOID_IF_REPLACED,template-based design,quick template flyers,template library,yes,-,never (template look),-,-,"os_adobe_layout(owned, premium)"
Photoshop 2026 desktop,HANDOFF_NOW,world-class hand retouch/composite,"hero-level skin/detail, complex composite",manual artistry beyond any API,yes(Mac),open + edit a hero manually,final hero polish before a real sale,(manual),taste sign-off,Adobe MCP(most ops)
Lightroom Classic/CC desktop,HANDOFF_NOW,manual master grade (source XMP lives here),final hero grade,manual curve/HSL artistry,yes(Mac),open + grade a hero manually,final hero grade,(manual),strongest-photo gate,os_adobe_grade(deterministic)
Figma (desktop MCP + app),HANDOFF_NOW,"design systems, UI mockups, dev handoff","real web/app UI, tokens",interactive design + code handoff,callable-but-no-file,open Figma.app + a design file,"web/app UI, design system",(connect failed: app not open),screenshot/node,os_adobe_layout(static)
HTML/CSS + Chrome headless (LOCAL),USE_NOW,real responsive web pages -> rendered image,"landing pages, web heroes","real HTML render, not a mockup",yes,PROVEN today,"landing, web hero, email",DEED landing index.html + render,privacy gate,Pillow PNG mock(less real)
/web-artifacts-builder (claude.ai skill),HANDOFF_NOW,multi-component interactive HTML artifacts,rich landing/app prototypes,app-grade HTML scaffolding,yes(app),"build in app, export HTML",complex interactive landing,(app artifact),privacy gate,local HTML(simpler)
ffmpeg,USE_NOW,cut/assemble/resize/caption-safe,every motion deliverable,frame-accurate edit/encode,yes,keep using,any edit/assembly,DEED trailer,ffprobe,none
Python/Pillow/numpy,USE_NOW,"compositing, layout, image math",every layout/board/dashboard,programmatic pixel control,yes,keep using,poster/board/grade,whole kit,gate,none
ImageMagick (convert/magick),INPUT_SPECIFIC,heavy/edge-case image ops,format/colorspace edge cases,ops Pillow handles poorly,yes,convert on demand,CMYK/TIFF/odd formats,(on demand),-,Pillow(most cases)
exiftool,USE_NOW,metadata strip/read (privacy),every shareable asset,authoritative metadata control,yes,keep using,before any share,privacy audit SHIP,privacy gate,none
git,USE_NOW,versioning + local backup,every change,history + rollback,yes,keep using,every commit,commit history,-,none(add offsite)
os_* script suite,USE_NOW,the whole operating chain,every deliverable,the OS itself,yes,keep using,every run,DEED/LOT00 kits,all gates,none
Airtable (MCP),USE_NOW(read)/INPUT_SPECIFIC(write),structured data: leads/proof tracking,"tracked proof loop, CRM",relational base + views,yes,PROVEN read (AI EDGE DEMO base),"real proof loop, lead list",list_bases returned a base,record count,local CSV(small scale)
Notion (MCP),INPUT_SPECIFIC,living docs / wiki / CRM,client-facing living bible,rich docs + databases,yes,create one page when needed,shareable world bible,(on demand),-,local md(internal)
Google Drive (MCP),INPUT_SPECIFIC,cloud storage / sharing,sharing big files with a person,cloud file ops,yes,read/share on demand,hand a file to someone,(on demand),privacy gate,local disk(internal)
Gmail (MCP),HANDOFF_NOW,outreach drafts (no send),client/collab email,draft in your account,yes,"draft only, you send",reach a specific person,(draft),you approve send,none
Netlify / Vercel (MCP),WIRE_INSTALL,hosting a live page,public landing/proof loop,actual hosting + URL,yes(HELD),deploy a static page (on go),go-live,(HELD),privacy+legal gate,none(it is hosting)
Semrush (MCP),INPUT_SPECIFIC,SEO / market / competitor intel,go-to-market research,keyword + traffic data,yes,one report when researching,public positioning,(on demand),-,none
MCP builder (/mcp-builder),INPUT_SPECIFIC,build a bridge for an app-only tool,wiring Twilio/Zapier/etc into CLI,creates new MCP servers,yes(app),build a bridge when a route needs it,need an app-only tool here,(app),route test,handoff(manual)
