name,palette_hex,keywords,best_for,mood,accessibility_notes
Midnight SaaS,"#0f172a #1e293b #3b82f6 #60a5fa #f8fafc",saas tech dark professional trust blue,SaaS dashboards and developer tools,Professional and trustworthy,High contrast on dark - use #f8fafc for text on #0f172a
Ocean Depth,"#03045e #0077b6 #00b4d8 #90e0ef #caf0f8",ocean deep blue water marine aquatic,Marine conservation and aquariums and beach resorts,Calm and vast and serene,Ensure #00b4d8 text is on dark backgrounds only
Sunset Blaze,"#ff6b35 #f7c59f #efefd0 #004e89 #1a659e",sunset warm orange blue contrast vibrant,Food and travel and summer events,Energetic and warm and inviting,#ff6b35 on #efefd0 passes AA large text only - use #004e89 for body
Emerald Forest,"#1b4332 #2d6a4f #40916c #74c69d #d8f3dc",forest green nature organic sustainable,Eco brands and wellness and sustainability and farming,Natural and calming and growth,All greens need white or #d8f3dc text overlay
Fintech Trust,"#1a1a2e #16213e #0f3460 #e94560 #ffffff",fintech finance trust dark red accent,Banking apps and fintech and investment platforms,Secure and professional and bold,Red accent #e94560 on #1a1a2e passes AAA
Healthcare Calm,"#f0f9ff #e0f2fe #7dd3fc #0284c7 #0c4a6e",healthcare medical calm blue clean trust,Hospitals and health apps and medical platforms,Clean and trustworthy and calming,All combinations pass AA except #7dd3fc on #f0f9ff
Gaming Neon,"#0d0d0d #1a1a2e #e94560 #00ff87 #ffbe0b",gaming neon dark vibrant esports bright,Gaming platforms and esports and entertainment,Electric and exciting and bold,Neon colors pass on #0d0d0d - avoid neon-on-neon combinations
Education Bright,"#264653 #2a9d8f #e9c46a #f4a261 #e76f51",education learning warm friendly academic,Online courses and education platforms and schools,Friendly and engaging and knowledgeable,#264653 as text color passes AAA on light backgrounds
Beauty Rose,"#fdf2f8 #fce7f3 #f9a8d4 #ec4899 #9d174d",beauty pink rose feminine skincare cosmetics,Beauty brands and skincare and spas and salons,Elegant and feminine and luxurious,#9d174d on #fdf2f8 passes AAA - avoid #f9a8d4 for text
Restaurant Warm,"#3d0814 #6b0f1a #9b2226 #ca6702 #ee9b00",restaurant food warm rich appetite,Restaurants and food delivery and cafes and bakeries,Appetizing and warm and inviting,Use #ee9b00 sparingly - #3d0814 and #9b2226 provide text contrast
Real Estate Luxury,"#1c1917 #44403c #a8a29e #e7e5e4 #fafaf9",real estate luxury neutral stone premium,Luxury real estate and architecture firms,Sophisticated and timeless and premium,Excellent contrast ratios across all combinations
Fitness Energy,"#0a0a0a #1a1a1a #ff4500 #ff6b35 #ffd700",fitness energy bold dark orange gold,Gyms and fitness apps and sports brands,Powerful and energetic and motivating,Orange and gold need dark background - passes AAA on #0a0a0a
Travel Adventure,"#2d3436 #636e72 #00b894 #00cec9 #fdcb6e",travel adventure explore teal gold,Travel agencies and adventure tours and outdoor brands,Adventurous and fresh and exciting,#2d3436 text passes AAA on light colors
Legal Authority,"#1a1a2e #2d2d44 #c9a96e #e8d5b7 #f5f0e8",legal authority gold classic professional,Law firms and consulting and professional services,Authoritative and established and trustworthy,Gold #c9a96e needs dark background for readability
Automotive Dark,"#0f0f0f #1a1a1a #c0c0c0 #e63946 #ffffff",automotive dark sleek premium car,Automotive brands and car dealerships and motorsport,Sleek and powerful and premium,Silver #c0c0c0 on #0f0f0f passes AA - use white for body text
Fashion Monochrome,"#000000 #1a1a1a #666666 #cccccc #ffffff",fashion monochrome minimal black white elegant,High fashion and luxury clothing and designer brands,Sophisticated and timeless and editorial,Perfect contrast - all combinations clearly defined
Music Purple,"#1a0533 #2d0a5e #7c3aed #a78bfa #ede9fe",music purple creative night vibrant,Music platforms and concert venues and record labels,Creative and vibrant and immersive,#a78bfa on #1a0533 passes AA - #ede9fe for text on dark
Photography Neutral,"#18181b #27272a #52525b #a1a1aa #fafafa",photography neutral gallery minimal clean,Photography portfolios and galleries and print shops,Neutral and unobtrusive and gallery-like,Designed for content focus - all grays have clear hierarchy
Pet Friendly,"#fef3c7 #fbbf24 #f59e0b #92400e #451a03",pet friendly warm playful golden amber,Pet shops and veterinary and animal rescue and pet products,Warm and friendly and approachable,#451a03 on #fef3c7 passes AAA - avoid yellow text
Children Bright,"#fef2f2 #ff6b6b #feca57 #48dbfb #0abde3",children kids bright playful colorful fun,Children's products and games and education and toys,Joyful and energetic and fun,All bright colors need dark text overlay - use #1a1a1a
Wedding Elegant,"#fdf8f0 #f5ebe0 #d5bdaf #a68a7b #6b4f3f",wedding elegant neutral cream blush,Wedding planners and bridal shops and event venues,Romantic and elegant and timeless,Warm neutral palette - #6b4f3f on #fdf8f0 passes AAA
Nonprofit Heart,"#fef2f2 #fecaca #ef4444 #1e3a5f #0f172a",nonprofit charity red blue heart cause,Nonprofits and charities and fundraising and social causes,Compassionate and urgent and trustworthy,Red #ef4444 on #fef2f2 passes AA large - use #0f172a for body
