title,ext,status_v2,wave,lane,cited,reason,matched_domain,md5,path
100M Offers Made Easy_ Create Your Own Irresistible Offers by Turning ChatGPT into Alex Ho,.epub,DUPLICATE_OR_SUPERSEDED,-,business,yes,Duplicate copy of a Top-10 pilot book being certified this wave; superseded by the certified copy.,offer-design,23b8c84238faf84b072a074436208dcc,"/Users/sniper/Downloads/    SNIPED_OS/100M Offers Made Easy_ Create Your Own Irresistible Offers by Turning ChatGPT into Alex Hormozi{Ben Preston}(2023, Ben Preston){114900938} libgen.li.epub"
Alex Hormozi - $100M Leads_ How to Get Strangers To Want To Buy Your Stuff (2023) - libgen,.epub,DUPLICATE_OR_SUPERSEDED,-,business,yes,Duplicate/superseded copy; one canonical copy is the 002-B certify target.,sales-flow,f50ae1c80533b61053ef486d00f2ccc3,/Users/sniper/Downloads/    SNIPED_OS/Alex Hormozi - $100M Leads_ How to Get Strangers To Want To Buy Your Stuff (2023) - libgen.li.epub
Confessions-of-an-Advertising-Man-by-Ogilvy-David-Parker-Alan-z-lib.org_.pdf,.pdf,DUPLICATE_OR_SUPERSEDED,-,business,yes,Superseded: confessions_of_an_advertising_man_ogilvy.txt is already coverage_proven; this binary is a duplicate copy.,copywriting,ddfc7d6fba66648f6157e8cdfb330d8b,/Users/sniper/Downloads/    SNIPED_OS/Confessions-of-an-Advertising-Man-by-Ogilvy-David-Parker-Alan-z-lib.org_.pdf
How_To_Get_Sponsors_Coach_Jones.pdf,.pdf,MISCLASSIFIED_PROJECT_ARTIFACT,-,business,no,"Own SNIPED/Kingdom project output, not an external source; remove from book canon (reclassify class=source -> derivative).",,066eba6a890a1ac3cdcfabd68f76fec0,/Users/sniper/AI-Brain-Refinery/00_COMMAND_CENTER/kingdom_of_the_sun/_deliverables_pdf/How_To_Get_Sponsors_Coach_Jones.pdf
KOTS_2026_Refresh_Concept_v1.pdf,.pdf,MISCLASSIFIED_PROJECT_ARTIFACT,-,business,no,"Own SNIPED/Kingdom project output, not an external source; remove from book canon (reclassify class=source -> derivative).",,53ae30648396441fbeb801da0bc60eab,/Users/sniper/AI-Brain-Refinery/00_COMMAND_CENTER/kingdom_of_the_sun/logo_v1/KOTS_2026_Refresh_Concept_v1.pdf
KOTS_2026_Refresh_Concept_v2.pdf,.pdf,MISCLASSIFIED_PROJECT_ARTIFACT,-,business,no,"Own SNIPED/Kingdom project output, not an external source; remove from book canon (reclassify class=source -> derivative).",,8a4ef89be838f7c133e5ae10f6c31123,/Users/sniper/AI-Brain-Refinery/00_COMMAND_CENTER/kingdom_of_the_sun/logo_v1/KOTS_2026_Refresh_Concept_v2.pdf
Kingdom_Final_Six_Strategy.pdf,.pdf,MISCLASSIFIED_PROJECT_ARTIFACT,-,business,no,"Own SNIPED/Kingdom project output, not an external source; remove from book canon (reclassify class=source -> derivative).",,977614cf36e32227e69b93201973c61a,/Users/sniper/AI-Brain-Refinery/00_COMMAND_CENTER/kingdom_of_the_sun/_deliverables_pdf/Kingdom_Final_Six_Strategy.pdf
Kingdom_Food_Play.pdf,.pdf,MISCLASSIFIED_PROJECT_ARTIFACT,-,business,no,"Own SNIPED/Kingdom project output, not an external source; remove from book canon (reclassify class=source -> derivative).",,e5cf533e9d3cdaf7a4ebf6b100b3e5d6,/Users/sniper/AI-Brain-Refinery/00_COMMAND_CENTER/kingdom_of_the_sun/_deliverables_pdf/Kingdom_Food_Play.pdf
Kingdom_Media_Fee_Model.pdf,.pdf,MISCLASSIFIED_PROJECT_ARTIFACT,-,business,no,"Own SNIPED/Kingdom project output, not an external source; remove from book canon (reclassify class=source -> derivative).",,b6c7891fdb3fa6c3436fbb74e37b94ac,/Users/sniper/AI-Brain-Refinery/00_COMMAND_CENTER/kingdom_of_the_sun/_deliverables_pdf/Kingdom_Media_Fee_Model.pdf
Kingdom_Media_Money_Model.pdf,.pdf,MISCLASSIFIED_PROJECT_ARTIFACT,-,business,no,"Own SNIPED/Kingdom project output, not an external source; remove from book canon (reclassify class=source -> derivative).",,39238f1abbee580c8cd6d8f881343a04,/Users/sniper/AI-Brain-Refinery/00_COMMAND_CENTER/kingdom_of_the_sun/_deliverables_pdf/Kingdom_Media_Money_Model.pdf
