ts,stage,purpose,tool_model,settings,expected_improvement,cost_credits,job_or_output,gate_result,verdict
2026-06-05,preflight,balance check,higgsfield.balance,-,know budget,0,819cr/plus,OK,proceed
2026-06-05,preflight,still cost 1k,nano_banana_pro,1k 9x16,baseline,0,2cr/img,OK,note
2026-06-05,preflight,motion cost,seedance_2_0,720p std 4s,baseline,0,18cr/4s,OK,note
2026-06-05,generation,hero frame set (4 cand),nano_banana_pro,4k 9x16 count4 ref=locked hero,premium on-doctrine hero,16,4 jobs completed,VISION pending,keep 02+04+01 cut 03
2026-06-05,gate,identity facematch picks,os_facematch,vision 0.86/0.92,continuity proof,0,cand02+cand04 PASS,PASS,keep
2026-06-05,post,local luxury grade hero,os_adobe_grade,locked v3,beats source,0,hero_graded.png,VISION SHIP,keep
2026-06-05,post,title+end cards,os_adobe_layout,titlecard,in-world copy,0,2 cards,COPY PASS,keep
2026-06-05,post,poster overflow,os_adobe_layout,poster masthead too long,n/a,0,poster v1,TEMPLATE FAIL,FIX
2026-06-05,post,poster fix (masthead AXIS),os_adobe_layout,poster,fits + stronger,0,poster.png,recheck,keep-if-clean
2026-06-05,motion,beat A push-in on hero,seedance_2_0,1080p 5s i2v ref=hero,real film motion,30,job 04f1ce1f,MOTION pending,pending
2026-06-05,motion,beat A NSFW false-positive,seedance_2_0,1080p 5s,wasted,22,job 04f1ce1f nsfw,FAIL,reroll
2026-06-05,motion,beat A retry (push-in),seedance_2_0,1080p 5s reworded,establishing motion,23,job b0e39d0c,MOTION SHIP,keep
2026-06-05,motion,beat B (portrait head-turn),seedance_2_0,1080p 5s,performance beat,23,job 336534cc,MOTION SHIP,keep
2026-06-05,CLOSE,total spend,-,-,-,106,balance 713 of 819,SHIP,proof complete
