tool,current_status,callable_here,installed_elsewhere,needed_for_world_class,unlocks,current_substitute,smallest_activation_test,proving_artifact_required,risk,priority_rank,recommendation
Higgsfield (Nano Banana / nano_banana_pro stills),ACTIVE,yes,yes(app),REQUIRED_NOW,premium 4K faceless heroes,none,done,DEED/LOT00 4K gate SHIP,spend per gen,1,Keep as the stills engine
Higgsfield Seedance (video),ACTIVE,yes,yes(app),REQUIRED_NOW,generated motion shots,none,done,DEED 4s clip,~18cr/4s,2,Keep as the motion engine
Adobe MCP image_crop_and_resize,ACTIVE,yes,-,REQUIRED_NOW,AI subject-aware crop/social variations,local center-crop (weaker),done,DEED 1:1 crop artifact,needs upload handshake,3,Keep; it is the proven Adobe layer
Adobe MCP image_remove_background,AMBER,yes,-,OPTIONAL_NOW,true cutouts for product/drop mockups,none (Pillow cannot AI-cutout),one cutout via handshake,a transparent PNG cutout,none,6,"Prove next (cheap, unlocks 3D-feel mockups)"
Adobe MCP image_generative_expand (Firefly),AMBER,yes,-,OPTIONAL_NOW,extend canvas for banners/masthead space,none (generative),one expand via handshake,an expanded banner PNG,generative; approval flag,7,Prove next (cheap)
Adobe MCP document_render_layout (InDesign),AMBER,yes,-,OPTIONAL_NOW,world-class multi-page PDF decks,Pillow images->PDF (decent),render one .idml to PDF,an InDesign-rendered PDF,needs an .indd/.idml template,9,Prove before a real client deck
Adobe MCP document_merge (InDesign/Illustrator batch),AMBER,yes,-,LATER,batch the numbered DEED certificates (edition of 250),local Pillow numbering,merge a 3-row CSV,3 numbered cert PNGs,needs a template,12,Useful when the print drop is real
Adobe MCP video_create_quick_cut / video_resize,AMBER,yes,-,OPTIONAL_NOW,AI highlight reel / resize,ffmpeg (covers it),one quick_cut,a cut mp4,none,14,Substitute exists; low priority
Adobe MCP search_design / fill_text (Express),AMBER,yes,-,NOT_NEEDED,template-based design,os_adobe_layout (more premium/owned),-,-,templates look like templates,20,Skip; we avoid template look
Photoshop 2026 (desktop),RED-wire,no,yes(Mac),REPLACEABLE,world-class hand retouch/composite,Adobe MCP image tools (most ops),-,-,not automatable from CLI,11,"Manual handoff only, for hero-level retouch later"
Lightroom Classic/CC (desktop),RED-wire,no,yes(Mac),REPLACEABLE,manual hero grade (the source XMP),os_adobe_grade (deterministic replica),-,-,not automatable from CLI,13,Replaced by os_adobe_grade; manual for final hero only
Figma (desktop MCP + app),AMBER,yes,yes(Mac),OPTIONAL_NOW,"design systems, real UI mockups, dev handoff",os_adobe_layout (static),get_screenshot of one node,a Figma node screenshot,needs a live Figma file open,10,Prove before any real web/product UI
/web-artifacts-builder (claude.ai skill),AMBER,no,yes(app),LATER,real responsive HTML landing,PNG landing preview,build one HTML hero in app,a working .html,app-only; handoff,8,"Required before a public landing, not before selling"
ffmpeg,ACTIVE,yes,yes(Mac),REQUIRED_NOW,cut/assemble/resize/caption-safe motion,none,done,DEED trailer assembled,none,4,Keep as the edit/assembly layer
ImageMagick (convert/magick),ACTIVE,yes,yes(Mac),OPTIONAL_NOW,heavy image ops/format edge-cases,Pillow (covers most),one convert,a converted asset,none,16,Fallback for Pillow; low priority
exiftool,ACTIVE,yes,yes(Mac),REQUIRED_NOW,privacy/metadata strip,none,done,privacy audit SHIP,none,5,Keep; safety-critical
git,ACTIVE,yes,yes(Mac),REQUIRED_NOW,versioning + local backup,none,done,commit history,offsite still missing,5,Keep; add offsite remote
os_* scripts (engine/campaign/gate/grade/layout/cut/privacy/money/launch/tool_*),ACTIVE,yes,-,REQUIRED_NOW,the whole operating chain,none,done,"DEED/LOT00 kits, 8/8 route tests",none,1,The spine; keep
CapCut,RED,no,no,REPLACEABLE,fast social captions/effects/templates,ffmpeg + os_adobe_cut (covers cut/assemble),-,-,another app to manage,17,Skip; ffmpeg covers the need now
Premiere / After Effects,RED,no,no,LATER,motion graphics (animated titles/lower-thirds) + real edit/sound,ffmpeg + still title cards (no motion-gfx),-,-,"heavy, not automatable",15,The real cinematic-trailer gap; LATER
InDesign / Illustrator (desktop),RED,no,no,REPLACEABLE,pro layout/vector,Adobe MCP document_render + os_adobe_layout,-,-,not automatable,18,Use Adobe MCP cloud instead
Runway,RED,no,no,OPTIONAL_NOW,alternative/▸better motion for some shots,Higgsfield Seedance (covers it),-,-,another paid model,15,Add only if Seedance limits are hit
Midjourney,RED,no,no,NOT_NEEDED,stills,Higgsfield Nano Banana (covers it),-,-,redundant paid tool,20,Skip; redundant
Synthesia,RED,no,no,NOT_NEEDED,talking-head/avatar video,n/a (brand is faceless),-,-,off-brand (faces),21,Skip; contradicts faceless doctrine
