doc,status,use_type,priority,reason
series 2 download.docx,USED,technique card,,In this sprint's extracted set; LUT (534) + prompt + burn/layer/grade density across express/photoshop/figma/runway.
series 3 download.docx,USED,technique card,,TECHNIQUE_CARDED in matrix; massive photoshop/adobe/firefly/premiere + layer:4178/mask:1601 retouch corpus.
astro claude websites 3x faster.docx,QUEUED,,1,"851k words, prompt:1526 + nano banana/higgsfield/veo/midjourney; large web+AI generation how-to not yet carded. Rough segment size: ~20-25 s"
new hot shit .docx,QUEUED,,1,"838k words, runway/express/figma/kling + layer:314/lut:232/transition; major motion+composite how-to uncarded. ~20-24 segments."
high level convos.docx,QUEUED,,2,684k words but thinner tool density (lut:181/layer:130); strategy-heavy with some runway/kling/veo technique. ~16-20 segments.
world building characters etc.docx,USED,workflow,,In sprint extracted set; blender:314 + nano banana + prompt:487/layer:413/uv world-building pipeline.
new world.docx,USED,workflow,,In sprint extracted set; figma:52/midjourney:19 + prompt:253/lut:159 world-building and design how-to.
series 5 download.docx,QUEUED,,1,"378k words, figma/veo/firefly + prompt:226/lut:125/composite; uncarded generation+design corpus. ~10-12 segments."
NEXT INFO GRABS.docx,USED,technique card,,In sprint extracted set; express/adobe/photoshop/runway + lut:156/retouch:27 grab-bag of editing technique.
gary2.0 use.docx,QUEUED,,2,"321k words, sora:14 + lut:90/grade:40/burn; GaryVee distribution + some color/video technique. ~8-10 segments."
series 1 download.docx,QUEUED,,1,"216k words, adobe/express/photoshop/runway/stable diffusion + lut:59/prompt:35; uncarded mixed-tool how-to. ~6-8 segments."
SOCIAL MEDIA 3.0 MAY USE.docx,QUEUED,,2,"193k words, premiere/sora/figma + lut:72/layer:64/easing/transition; social motion-editing how-to. ~5-7 segments."
last lightroom hopefully.docx,USED,technique card,,TECHNIQUE_CARDED in matrix; lightroom:439 + mask:578/curves:49/retouch:46 deep Lightroom develop corpus.
POSING 101 OG.docx,USED,technique card,,In sprint extracted set; posing reference with express/photoshop + curves:49/depth of field/retouch.
LIGHTING SET UPS OG.docx,USED,technique card,,In sprint extracted set; nano banana/firefly/midjourney + key light:25/rim light:23 lighting setups.
meta everything use.docx,QUEUED,,2,"143k words, thin tools but lut:71/prompt:32/easing/transition; Meta-ads + editing how-to uncarded. ~4-5 segments."
ai after ramon.docx,QUEUED,,2,"137k words, midjourney:11/nano banana + prompt:131/lut:53; AI generation thread, keep canonical of the twin pair. ~4 segments."
ai after ramon copy.docx,DISCARDED,,,"Exact duplicate of 'ai after ramon.docx' (identical 137066 words, identical tool/tech counts) · copy twin."
takeover after ramon.docx,QUEUED,,3,"134k words, midjourney/nano banana + prompt:119/lut:53; near-identical to ai-after-ramon family, secondary takeover variant. ~4 segments."
takeover after ramon copy.docx,DISCARDED,,,"Exact duplicate of 'takeover after ramon.docx' (identical 134205 words, identical counts) · copy twin."
claude thursday 4:23.docx,QUEUED,,3,"111k words but very thin tools (express/figma/nano banana :1 each); prompt:201 mostly chat/strategy, low technique yield. ~3 segments."
bunch of mess.docx,USED,workflow,,In sprint extracted set; kling:76/lightroom:25 + lut:93/retouch:38 mixed motion+retouch grab-bag.
PIXIESET NEW USE .docx,USED,workflow,,In sprint extracted set; lightroom:157 + grade:87/lut:96 delivery+grading workflow.
MOODBOARDING DOC OG.docx,USED,prompt pattern,,In sprint extracted set; nano banana:45/firefly:21/midjourney:21 + prompt:194/reference image moodboarding prompts.
last ig growth strat.docx,QUEUED,,3,"87k words, thin tools (photoshop:2) but lut:23/burn:13/transition; mostly IG growth strategy, modest technique. ~2-3 segments."
LOCATION SCOUTING OG.docx,QUEUED,,2,"86k words, lightroom/photoshop/runway + rim light:4/dodge/depth of field; location-scouting reference how-to. ~2-3 segments."
higssfield og.docx,USED,prompt pattern,,In sprint extracted set; higgsfield:616/sora:287/seedance/kling + prompt:450/upscale:158 video-gen codex source.
mostly Powerhouse-.docx,QUEUED,,3,"76k words, express/premiere + uv:11/transition:11/easing; modest motion+3D technique. ~2 segments."
Build a Brand Like Apple.docx,USED,doctrine,,In sprint extracted set; brand doctrine with express/runway + lut:47/prompt:32 supporting technique.
sniped figma.docx,USED,workflow,,TECHNIQUE_CARDED in matrix AND sprint set; figma:318 + layer:52/mask:17 Figma design workflow.
gary thread.docx,QUEUED,,2,"70k words, kling:205 + lut:51/upscale:12/retouch; concentrated Kling video how-to uncarded. ~2 segments."
chat Sniped MAster thread.docx,QUEUED,,2,"69k words, multi-tool + prompt:93/retouch:30/grade; master strategy+technique thread. ~2 segments."
FASHION KILLA.docx,QUEUED,,3,"68k words, express/runway + layer:34/lut:19; fashion editorial direction, modest technique. ~2 segments."
claude cowork genius.docx,QUEUED,,3,"66k words, thin tools but prompt:96; Claude coworking workflow, mostly prompt patterns. ~2 segments."
claude for small business.docx,QUEUED,,4,"66k words, express:5 only + prompt:84/lut:33; small-biz Claude usage, low hard-tool technique. ~2 segments."
using ai x gumroad x digital products.docx,QUEUED,,2,"55k words, nano banana/sora/midjourney/higgsfield + layer:174/prompt:92; digital-product AI pipeline how-to. ~1-2 segments."
MONEY MONEY AND MORE MONEY AND GETTING AHEAD .docx,QUEUED,,4,"55k words, thin tools + layer:109/burn:15; mostly money/strategy, modest editing technique. ~1-2 segments."
FINDING MODELS ANYWHERE OG.docx,QUEUED,,3,"52k words, runway/photoshop + bloom:5/key light; model-sourcing reference with light technique. ~1-2 segments."
use blender like this.docx,USED,workflow,,TECHNIQUE_CARDED in matrix; blender:296 + uv:77/remesh:7/prompt:63 Blender how-to workflow.
Gemini Sniped MAster thread.docx,QUEUED,,2,"37k words, figma/lightroom/kling/runway + retouch:42/grade:22; multi-tool master thread, canonical of twin pair. ~1 segment."
Gemini.docx,DISCARDED,,,"Exact duplicate of 'Gemini Sniped MAster thread.docx' (identical 37131 words, identical tool/tech counts) · twin."
set up ai.docx,QUEUED,,4,"31k words, sora:1 + prompt:11/lut:8/grade; AI setup notes, thin technique. ~1 segment."
COURSE WORK 1 thru 2.docx,QUEUED,,4,"26k words, adobe/kling + lut:45; course notes with LUT technique. ~1 segment."
kling 3.00.docx,USED,prompt pattern,,In sprint extracted set; kling:60/nano banana:31/higgsfield:18 + prompt:249/keyframe Kling 3.0 prompts.
PHOTOGRAPHY MONEY GUIDE.docx,QUEUED,,3,"24k words, photoshop/lightroom/indesign + layer:159/lut:32; photo-monetization with production technique. ~1 segment."
LA PHOTOGRPAHY.docx,QUEUED,,4,"24k words, thin tools + layer:20/uv:6; LA market notes, modest technique. ~1 segment."
Gemini PHOTO YAP.docx,USED,technique card,,In sprint extracted set; lightroom:61 + mask:70/frequency separation:9/rim light:19 retouch+light how-to.
garyvee gameplan.docx,QUEUED,,4,"21k words, capcut/sora + layer:133/transition:12; GaryVee content gameplan, light editing technique. ~1 segment."
THREADS.docx,DISCARDED,,,"18k words, zero tools, near-zero technique (easing:4/prompt:4); low-signal Threads notes, no operational content."
adobe goat.docx,USED,technique card,,In sprint extracted set; lightroom:253/adobe:109/photoshop:46 + mask:72/upscale:16 Adobe master technique.
SOCIAL_MEDIA_3_0_REFERENCE.docx,QUEUED,,4,"17k words, sora/midjourney/nano banana + layer:11/lut:6; condensed social reference, light technique. ~1 segment."
branding x clothes gold.docx,QUEUED,,3,"14k words, illustrator:6/capcut + layer:88/lut:13; apparel-branding production how-to. ~1 segment."
AI CHANGED EVERYTHING.docx,QUEUED,,4,"14k words, kling:6 + layer:41; AI-shift narrative with light technique. ~1 segment."
MOSTLY PHOTOGRPAHY SETS SET DESIGN .docx,QUEUED,,3,"13k words, photoshop:7/nano banana + layer:99/depth of field:5; set-design reference how-to. ~1 segment."
