book,category,priority,plugs_into,confidence,core_doctrine
"BATCH_003 Tier 2 Canon (Enns Pricing Creativity + Win Without Pitching, Guidara ",FULLY_OPERATIONALIZED,1,"intel_pricing_logic, intel_wwp_proclamations, intel_hospital",high,The operating-doctrine layer. All 10 books already converted to certified intel_* memory atoms and live sniped-* skills.
"BATCH_005 photo-theory core (Sontag On Photography, Barthes Camera Lucida, Berge",FULLY_OPERATIONALIZED,2,"intel_photo_theory, sniped-photo-theory, sniped-art-series, ",high,Photography theory canon = the theoretical foundation of the Direction Stack and the anti-identity-AI argument.
"NETWORK_DISTRIBUTION (Kevin Kelly Inevitable + New Rules, Chris Anderson Long Ta",FULLY_OPERATIONALIZED,1,"intel_hit_mechanics, intel_distribution_mechanics, sniped-hi",medium,Distribution + attention mechanics. Hit Makers is operationalized as intel_hit_mechanics; the Kelly/Anderson distribution canon partly feeds intel_distribution_mechanics.
"BATCH_009 Offers + Copy + Marketing Canon (Hormozi $100M Offers + $100M Leads, S",QUEUED_FOR_DOCTRINE_EXTRACTION,1,"NEEDS: intel_offers (new), intel_copywriting (new). Plugs in",high,"The single highest-value un-operationalized cluster. This is the direct-response offer + copywriting + persuasion engine: Hormozi's value-equation and lead-gen, Schwartz's market-awareness staging, Hopkins/Bly testable c"
"ADVERTISING_RECOVERY (Ogilvy Confessions of an Advertising Man, Sugarman Adweek ",QUEUED_FOR_DOCTRINE_EXTRACTION,1,"NEEDS: intel_copywriting (new, shared with BATCH_009). Plugs",high,"The original-source advertising/copy masters. Ogilvy on research-led big ideas + long copy sells, Sugarman on the slippery-slide and first-sentence job, Halbert on the A-pile/B-pile and market-first thinking."
"BATCH_009_EXPANSION (Ramadan/Lochhead Play Bigger, Christensen Competing Against",QUEUED_FOR_DOCTRINE_EXTRACTION,1,NEEDS: intel_category_jtbd (new) or extend intel_strategic_i,high,"Category design (Play Bigger), Jobs-to-be-Done (Christensen), tactical negotiation (Voss), challenger-brand strategy (Morgan). Category-creation and JTBD are directly load-bearing for how SNIPED frames its lane and disco"
"CONSULTING_SERVICE (Weiss Million Dollar Consulting + Value-Based Fees, Maister ",QUEUED_FOR_DOCTRINE_EXTRACTION,1,Extend intel_pricing_logic + intel_trust_equation. Plugs int,high,"The professional-service-firm playbook. Weiss value-based fees (price the value not the time), Maister on trust + leverage in PSFs, Lencioni Getting Naked (vulnerability/anti-self-orientation), Block on the consultant-cl"
"FASHION_LUXURY_STRATEGY (Kapferer/Bastien Luxury Strategy, Thomas Deluxe, Agins ",QUEUED_FOR_DOCTRINE_EXTRACTION,1,Extend intel_new_luxury or new intel_luxury_strategy. Plugs ,high,"The anti-laws of luxury marketing: do not respond to demand, raise prices to increase desire, control distribution, keep non-clients dreaming, sell the dream not the product. Directly governs SNIPED's premium-lane behavi"
"BRAND_CANON (Neumeier Brand Gap, Wheeler/Meyerson Designing Brand Identity, Aire",QUEUED_FOR_DOCTRINE_EXTRACTION,4,Extend feedback_name_availability_gate. Plugs into sniped-po,medium,"Brand-identity + naming craft. Neumeier brand = gut feeling/differentiation, Watkins SMILE/SCRATCH naming test. Directly useful for the name-availability gate and any SNIPED sub-product naming."
"EXPERTISE_CREATIVITY (Rubin The Creative Act, Ericsson/Pool Peak, Colvin Talent ",QUEUED_FOR_DOCTRINE_EXTRACTION,2,Extend intel_photo_theory + feedback_repetition_over_novelty,medium,"Creativity + deliberate-practice doctrine. Rubin on taste, source, and the artist's stance; Ericsson deliberate practice = structured reps with feedback; Berger Ways of Seeing on image/power (overlaps photo-theory)."
"STORYTELLING_NARRATIVE (Truby Anatomy of Story, Campbell Hero with a Thousand Fa",QUEUED_FOR_DOCTRINE_EXTRACTION,2,"Plugs into sniped-video-philosophy, cultural_documentation_t",medium,"Narrative + visual-story structure. Truby 22 steps, Campbell monomyth, Block visual intensity/contrast, Snyder beat sheet. Feeds the Cultural Doc, video philosophy, and chapter narrative."
TOOLCHAIN_DISTRIBUTION_SUPP (Vaynerchuk attention arbitrage + interest-media abs,QUEUED_FOR_DOCTRINE_EXTRACTION,1,"intel_distribution_mechanics, sniped-pricing-decision, Carrd",medium,"Already-abstracted operator methods (not raw book). Underpriced-attention arbitrage, interest-media-over-social, creative-first sequencing, conversion-page skeleton, metered pricing ladder."
"DECISION_SYSTEMS_SUPP (18 BJ-abstracted operator decision methods: EV gate, kill",QUEUED_FOR_DOCTRINE_EXTRACTION,3,"NEEDS: intel_decision_gates (new). Plugs into sniped-decide,",medium,"A ready-made decision-discipline kit abstracted from BJ's trading/analytics corpus. EV gate, kill conditions, floor-over-ceiling, base rates, effective-hourly-wage test."
"BATCH_002 Tier 1 strategy/operator subset NOT yet atomized (Thiel Zero to One, K",QUEUED_FOR_DOCTRINE_EXTRACTION,3,"intel_strategic_implications, sniped-blockbuster-strategy, a",medium,"Tier-1 strategy substrate + operator memoirs. Some pieces feed intel_strategic_implications, but most individual books (Working Backwards PR-FAQ, Outsiders capital allocation, Cold Start network effects, Zero to One mono"
"TIER_2_GREENE_STRATEGY (Greene Laws of Human Nature, Mastery, 50th Law with 50 C",QUEUED_FOR_DOCTRINE_EXTRACTION,4,"feedback_repetition_over_novelty, persuasion layer, intel_st",medium,"Greene on human nature, mastery-through-apprenticeship, and fearlessness (50th Law). Mastery overlaps Ericsson deliberate practice; Laws of Human Nature feeds persuasion/relationship reading."
"PERSUASION_RECOVERY (Ariely Predictably Irrational, 15 chunks)",QUEUED_FOR_DOCTRINE_EXTRACTION,4,Extend intel_pricing_logic. Plugs into sniped-pricing-decisi,medium,"Behavioral-economics levers: anchoring, decoy/relativity, zero-price effect, the cost of free, social vs market norms. Directly applicable to the 3-option pricing architecture and the free-vs-paid Strategic Free decision"
"FASHION_LUXURY_CULTURE (Drake The Beautiful Fall, Dior Dior by Dior + Little Dic",LOW_PRIORITY_REFERENCE_ONLY,2,"sniped-caption-writer (IG mythology register), feedback_visu",medium,"Fashion-house culture, taste, and editorial-world atmosphere. Taste/voice texture for the IG mythology register, not a rules source."
"CULTURE_AND_STATUS (Storr The Status Game, Marx Status and Culture)",LOW_PRIORITY_REFERENCE_ONLY,4,intel_status_psychology (supplement only),medium,Status as the engine of human behavior (Storr) and how status drives taste/culture cycles (Marx). Strong overlap with the already-operationalized de Botton + Simler/Hanson status atom.
"OPERATING_FOUNDER_OPERATIONS (Goldratt The Goal/Theory of Constraints, Gerber E-",QUEUED_FOR_DOCTRINE_EXTRACTION,3,"templates/monthly_constraint_audit, sniped-lean-audit, snipe",medium,Operations doctrine. Goldratt Theory of Constraints (already referenced in the monthly constraint audit template) and Gerber E-Myth work-on-not-in are the load-bearing ones for a one-person operation.
"OPERATING_FOUNDER_SCALING (Hoffman Blitzscaling, Slootman Amp It Up) + OPERATING",LOW_PRIORITY_REFERENCE_ONLY,3,Counterpoint to intel_company_of_one; do not promote,medium,Scaling + startup doctrine. Blitzscaling/Amp It Up are explicitly counter to SNIPED's company-of-one lean lane; Lean Startup MVP/build-measure-learn is mildly useful but largely covered.
"LEADERSHIP_MGMT + LEADERSHIP_SUPP (Grove High Output Management, Marquet Turn th",LOW_PRIORITY_REFERENCE_ONLY,3,"sniped-retoucher-onboarding (Phase B), deferred until hiring",medium,"Team-leadership and management doctrine. Mostly about leading teams/orgs, which is premature for a solo/lean operation (retoucher hire is the only near-term people decision)."
"POSITIONING_DISRUPTION (Moore Crossing the Chasm, Christensen Innovator's Dilemm",QUEUED_FOR_DOCTRINE_EXTRACTION,1,"SOP_discovery_call, sniped-discovery-to-close, feedback_scen",medium,The Mom Test is the load-bearing one: how to do customer/discovery conversations without false positives. Crossing the Chasm (early-adopter beachhead) and Innovator's Dilemma are strategy substrate.
"MONEY_OWNERSHIP (Marks Most Important Thing, Buffett Essays, Housel Psychology o",LOW_PRIORITY_REFERENCE_ONLY,1,"intel_perennial_logic (patience supplement), personal capita",medium,"Investing/capital-allocation wisdom. Topically priority-1 (money) but it is investing-money, not offer/sales-money. Housel behavior-over-spreadsheet and Marks second-level thinking are the transferable bits."
"DEEP_FINANCE_EXPANSION (Graham Security Analysis + Intelligent Investor, Klarman",LOW_PRIORITY_REFERENCE_ONLY,5,None operationally,medium,Value-investing + macro-finance. Out of lane for a photography service business; margin-of-safety thinking is the only loosely transferable mental model.
"SYSTEMS_THINKING (Meadows Thinking in Systems, McLuhan Understanding Media, Seng",QUEUED_FOR_DOCTRINE_EXTRACTION,3,"feedback_platform_split (McLuhan), all production/delivery S",medium,Systems doctrine. Checklist Manifesto is directly actionable (all the SOP checklists are this in practice); Meadows leverage-points and McLuhan medium-is-the-message are useful frames.
