capability,status,callable_route_or_handoff,artifact,log,gate,dashboard
world->gated 4K hero,ACTIVE,Higgsfield route,DEED/LOT00 4K,SPEND_LEDGER,os_postproduction_gate,proof dashboard
locked grade + color-law,ACTIVE,os_adobe_grade/composite,graded/composite PNGs,EDIT_LOG,gate,engine dashboard
one-command campaign kit,ACTIVE,os_engine,DEED kit,EDIT_LOG,gate+doctrine,engine dashboard
doctrine fusion (9 domains),ACTIVE,os_doctrine load/check/fix,doctrine_copy PASS,doctrine log,os_doctrine,engine manifest
prime router (18 modules),ACTIVE,os_prime_router route,TEST_RESULTS,-,-,module map
Adobe subject crop,ACTIVE,Adobe MCP+handshake,DEED 1:1,Adobe-credit,visual verify,-
Adobe cutout (remove-bg),ACTIVE,Adobe MCP,cutout PNG,Adobe-credit,visual verify,-
Adobe generative expand,ACTIVE,Adobe MCP,Firefly banner,Adobe-credit,visual verify,-
HTML landing + render,ACTIVE,local HTML+Chrome headless,landing_rendered.png,EDIT_LOG,os_privacy_gate,-
motion-graphics title (HyperFrames),ACTIVE,npx hyperframes render,deed_animated_title.mp4,render log,os_doctrine:layout,-
still-based teaser,ACTIVE,os_adobe_teaser,teaser mp4,EDIT_LOG,os_motion_qa,-
generated motion (1 shot),ACTIVE,Higgsfield Seedance,DEED clip,SPEND_LEDGER,os_motion_qa,-
PDF deck,ACTIVE,Pillow/Adobe render,DEED_DECK.pdf,EDIT_LOG,review,-
proof-loop scoring,ACTIVE,os_form_ingest/score,SCORE.md,RESPONSES.csv,keep/kill/scale,proof dashboard
Airtable (read),ACTIVE,Airtable MCP,AI EDGE DEMO base,-,-,-
privacy gate,ACTIVE,os_privacy_gate,audit SHIP,privacy log,os_privacy_gate,-
money-path score,ACTIVE,os_money_path,DEED 84,-,rubric,-
launch readiness,ACTIVE,os_launch_check,9 checks,-,-,-
Blender security gate,ACTIVE,os_blender_gate,DENY/ALLOW/CONFIRM proven,BLENDER_GATE_LOG,self,-
video-use edit skill,STAGED,~/Developer/video-use,-,-,-,-
video-use transcription,AMBER,needs ElevenLabs/Adobe key,-,-,-,-
multi-shot trailer,AMBER,needs 2-3 more shots,1-shot teaser only,-,os_motion_qa,-
Adobe generative fill/inpaint,TEST_NOW,Adobe MCP image_fill_area,-,-,-,-
Adobe document_render (InDesign),TEST_NOW,Adobe MCP,needs template,-,-,-
sound design,HANDOFF,Firefly web (Adobe credits),-,-,-,-
Substance 3D / Topaz upscale,HANDOFF,Adobe apps,-,-,-,-
Blender MCP (3D),WIRE-gated,clone+uv+addon+config+restart,-,BLENDER_GATE_LOG,os_blender_gate,-
After Effects MCP,WIRE,clone+build+bridge+config+restart,-,-,os_motion_qa,-
Figma route,TEST_NOW,needs frame selected,-,-,-,-
Netlify/Vercel hosting,DEFERRED,held by policy,-,-,-,-
Midjourney/CapCut/Synthesia,AVOID_IF_REPLACED,Nano Banana/ffmpeg cover,-,-,-,-
