module,triggers,doctrine_loads,tools_route,gates_apply,excellent,failure,learns
copy,copy|headline|caption|tagline|write|words|cta|name,copy,os.adobe_layout,os_doctrine:copy,"complete thought, one big idea, in-world voice, no hype, no fragment",fragment / bible-dump / generic hype,new phrase patterns + failure modes -> positioning doctrine
visual_image,image|hero|still|photo|render an image|portrait|visual,visual_grade,mcp.higgsfield.image|mcp.adobe.crop_resize|os.adobe_grade|os.adobe_composite,os_postproduction_gate|os_doctrine:visual_grade,"beats an honest camera frame, one-color discipline, restraint",AI slop / inert / color-law broken,prompt+grade combos that pass -> visual doctrine
video_motion,motion|video|clip|animate|moving|seedance,motion,mcp.higgsfield.video|hyperframes,os_motion_qa|os_doctrine:motion,"intent per frame, color discipline survives motion",moving still passed off as a trailer,shot recipes that hold the world
editing,edit|cut|trim|trailer|reel|subtitle|footage,motion,skill.video_use|os.adobe_cut|local.ffmpeg,os_motion_qa,rhythm + cuts + clean audio + caption-safe,"no cuts, audible pops, captions misaligned",pacing patterns -> editing doctrine
sound,sound|audio|music|sfx|soundtrack|voice|score,motion,adobe.firefly_sound(HANDOFF)|skill.video_use(transcribe),taste,room tone + a single deliberate hit + restraint,stock-music wallpaper,sound briefs that worked
layout_design,layout|poster|deck|one-sheet|carousel|design|typography|board,layout_type,os.adobe_layout|mcp.adobe.render_layout|mcp.figma,os_doctrine:layout_type,"owned editorial kit, legible, intentional hierarchy, no filler",template look / illegible / filler slide,layout grammar that reads premium
threeD_worldbuilding,3d|blender|substance|sculpt|object|virtual set|plinth|mockup 3d|world|character,world_character,blender(SANDBOX)|substance(HANDOFF)|os.crs|os.world,os_world|os_blender_gate,"ownable mark, cultural specificity, faceless-safe, real geometry",generic 3D / tourism / unsafe code,world rules + scene recipes
strategy,strategy|direction|lane|positioning|which|decide|plan,distribution_hook,claude+os_docs,proof_before_crown,"proof decides, optionality protected, no lane crowned early",crowning a lane from a confident doc,which calls proof later validated
sales_offer,offer|price|pricing|sell|monetize|package the offer,pricing_offer,os.money_path,os_doctrine:pricing_offer|os_doctrine:trust_sales,"values not cost, scarcity/anchor, proof before price",price before demand / cost-plus,offer shapes that converted
proof_loop,proof|validate|form|signup|demand|test interest,trust_sales,os.form_ingest|os.form_score|mcp.airtable,keep_kill_scale,"private, identity-safe, real signal, not validation until shared",vanity signal / premature scale,what signal predicted real buyers
legal_privacy,legal|privacy|identity|employer|nda|terms|metadata|leak,safety_identity,os_privacy_gate|legal_stubs,os_privacy_gate|legal_review_needed,"no identity leak, faceless-safe, stubs flagged not final",identity/employer leak / final legal claim,new banned tokens + leak surfaces
finance_cost,cost|budget|credits|spend|ledger|money tracking,pricing_offer,os_cost|spend_ledgers,budget_gate,"every credit logged across both tanks, ceiling respected",silent spend / fake-free,cost per output type
operations,operate|readiness|launch check|backup|session|continuity|run the office,safety_identity,os_launch_check|os_checkpoint|os_boot,launch_readiness,"safe-to-restart, public actions blocked, danger gaps named",unsafe state / lost work,recurring ops gaps
toolchain,tool|connect|wire|mcp|install|activate|route,safety_identity,os_tool_registry|os_tool_router,capability_proof,every tool ACTIVE only with an artifact; input routes,access called capability,new tools + statuses
research_doctrine,research|doctrine|book|study|learn from|intel|certify,copy,os_doctrine|memory|knowledge_base,certification,"read-whole, certified, distilled to usable doctrine",read called certified / chunk called coverage,new doctrine fused into modules
product_drop,drop|print|edition|product|merch|certificate|physical,pricing_offer,os.adobe_composite|blender(SANDBOX)|print_spec,validation_before_manufacture,"numbered, scarce, analog-premium, validated before a run",manufacture before demand,drop mechanics that sold
client_delivery,client|deliver|pitch|present|handoff to a person|sellable,trust_sales,os.adobe_layout|mcp.adobe.render_layout|local.pdf,hardest_to_say_no|os_privacy_gate,"premium, hardest to say no to, privacy-clean, no overclaim",internal scaffolding shown / overclaim,what a recipient said yes to
learning_self_improvement,learn|improve|failure|lesson|rule|gap|self-correct,safety_identity,failure_ledger|lessons|next_time_rules,active_standard,every failure logged+classified+ruled so it never recurs,same surprise gap twice,the rule that prevents recurrence
