id,role,type,description,size/ratio,style line ref,source
thumbnail_cover,deploy thumbnail + title screen art,image,vibrant island stadium cover art with GRIDIRON ROYALE title,16:9,FORMULA full,generate
favicon_icon,deploy favicon + catalog icon,image,chunky cartoon football with lightning bolt icon,1:1,FORMULA full,generate
music_loop,match background music (looped),audio,energetic upbeat stadium anthem instrumental,30s,FORMULA blocks 4,generate
sfx_whistle,drive start cue,audio,short sharp referee whistle blast,1s,n/a,generate
sfx_tackle,tackle hit,audio,cartoony heavy body thud impact,1s,n/a,generate
sfx_juke,juke dash,audio,quick airy whoosh swipe,1s,n/a,generate
sfx_touchdown,touchdown celebration,audio,stadium crowd roar cheering burst,4s,n/a,generate
sfx_pickup,orb pickup,audio,bright arcade chime sparkle,1s,n/a,generate
turf_field,field ground texture,texture,procedural mowing-stripe turf with painted yard lines and endzones,2048px canvas,FORMULA blocks 3-5,procedural
sky_world,sky + sunset gradient + floating islands backdrop,3d,procedural gradient dome and low-poly island meshes,n/a,FORMULA blocks 3-4,procedural
hero_model,player character,3d,chunky low-poly runner in warm orange-and-cream kit with helmet,1.0 hero-units,FORMULA full,procedural
defender_model,AI defenders,3d,chunky low-poly defenders in punchy magenta-violet kit,1.05,FORMULA full,procedural
pickup_orb,stamina pickup,3d,glowing cyan orb,0.5,FORMULA block 3,procedural
golden_ball,bonus pickup,3d,glowing golden football,0.45,FORMULA block 3,procedural
crowd_stands,stadium crowd,3d,instanced colorful blocky crowd cubes in stands,n/a,FORMULA block 3,procedural
confetti_fx,touchdown confetti,3d,instanced colorful quads burst,n/a,FORMULA block 3,procedural
hero_concept,image-to-3D reference still,image,chunky cartoon RB hero A-pose white bg 3/4 iso,1:1,FORMULA full,generate
defender_concept,image-to-3D reference still,image,chunky cartoon linebacker villain A-pose white bg 3/4 iso,1:1,FORMULA full,generate
hero_run_glb,playable hero character,3d,rigged GLB 20k tris RunFast clip from hero_concept,2.0 hero-units,FORMULA via concept,generate
defender_run_glb,defender pool character,3d,rigged GLB 12k tris Run_02 clip from defender_concept,2.0,FORMULA via concept,generate
hero_dance_glb,TD celebration emote,3d,rigged GLB Boom_Dance clip on hero mesh,2.0,FORMULA via concept,generate
sky_pano,stadium panorama backdrop,image,floating islands waterfalls golden-hour panorama on mirrored cylinder,16:9,FORMULA full,generate
vo_welcome,announcer tier1 match open,audio,Dominus welcome line,~3s,n/a,generate
vo_touchdown,announcer tier3 score,audio,Dominus touchdown call,~1.5s,n/a,generate
vo_mvp,announcer tier3 mvp,audio,Dominus MVP call,~5s,n/a,generate
vo_lastdown,announcer tier2 pressure,audio,Dominus last down call,~3s,n/a,generate
vo_hothand,announcer tier3 streak,audio,Dominus hot hand call,~5s,n/a,generate
vo_turnover,announcer tier1 loss,audio,Dominus turnover call,~4s,n/a,generate
vo_goldenball,announcer tier2 pickup,audio,Dominus golden ball call,~3s,n/a,generate
light_towers,night-game stadium lights,3d,procedural poles with emissive heads keyed to wave night lerp,n/a,FORMULA blocks 3-4,procedural
boost_pads,turbo strips,3d,procedural emissive cyan pads,n/a,FORMULA block 3,procedural
