doc,words,top_tools,priority,conversion_status
series 2 download.docx,1187552,express;photoshop;figma;runway,1,CERTIFIED_ONLY
series 3 download.docx,918511,photoshop;adobe;firefly;premiere,1,TECHNIQUE_CARDED
astro claude websites 3x faster.docx,851199,express;nano banana;higgsfield;photoshop,1,CERTIFIED_ONLY
new hot shit .docx,838784,runway;express;figma;kling,1,CERTIFIED_ONLY
high level convos.docx,684626,express;runway;kling;veo,1,CERTIFIED_ONLY
world building characters etc.docx,422368,blender;nano banana;adobe;photoshop,1,CERTIFIED_ONLY
new world.docx,399174,figma;express;midjourney;photoshop,1,CERTIFIED_ONLY
series 5 download.docx,378263,figma;express;veo;adobe,1,CERTIFIED_ONLY
NEXT INFO GRABS.docx,329062,express;adobe;photoshop;runway,1,CERTIFIED_ONLY
gary2.0 use.docx,321935,sora;express;photoshop;kling,1,CERTIFIED_ONLY
series 1 download.docx,216177,adobe;express;photoshop;runway,1,CERTIFIED_ONLY
SOCIAL MEDIA 3.0 MAY USE.docx,193081,premiere;express;adobe;sora,1,CERTIFIED_ONLY
last lightroom hopefully.docx,189750,lightroom;adobe;photoshop;express,1,TECHNIQUE_CARDED
POSING 101 OG.docx,178295,express;photoshop;lightroom;kling,1,CERTIFIED_ONLY
LIGHTING SET UPS OG.docx,155072,nano banana;express;photoshop;lightroom,1,CERTIFIED_ONLY
bunch of mess.docx,107892,kling;lightroom;express;adobe,1,CERTIFIED_ONLY
PIXIESET NEW USE .docx,106601,lightroom;express;photoshop;adobe,1,CERTIFIED_ONLY
MOODBOARDING DOC OG.docx,88040,nano banana;photoshop;firefly;midjourney,1,CERTIFIED_ONLY
last ig growth strat.docx,87796,photoshop,1,CERTIFIED_ONLY
LOCATION SCOUTING OG.docx,86849,lightroom;photoshop;express;runway,1,CERTIFIED_ONLY
higssfield og.docx,85375,higgsfield;sora;nano banana;seedance,1,CERTIFIED_ONLY
mostly Powerhouse-.docx,76124,express;premiere;runway,1,CERTIFIED_ONLY
Build a Brand Like Apple.docx,74494,express;runway;nano banana;kling,1,CERTIFIED_ONLY
sniped figma.docx,73184,figma;midjourney;express;photoshop,1,TECHNIQUE_CARDED
gary thread.docx,70251,kling;nano banana;express;lightroom,1,CERTIFIED_ONLY
chat Sniped MAster thread.docx,69537,lightroom;figma;higgsfield;kling,1,CERTIFIED_ONLY
claude cowork genius.docx,66376,nano banana;premiere;after effects;runway,1,CERTIFIED_ONLY
using ai x gumroad x digital products.docx,55649,nano banana;sora;midjourney;higgsfield,1,CERTIFIED_ONLY
FINDING MODELS ANYWHERE OG.docx,52715,runway;express;photoshop;lightroom,1,CERTIFIED_ONLY
Gemini Sniped MAster thread.docx,37131,figma;lightroom;kling;runway,1,CERTIFIED_ONLY
Gemini.docx,37131,figma;lightroom;kling;runway,1,CERTIFIED_ONLY
COURSE WORK 1 thru 2.docx,26754,adobe;kling,1,CERTIFIED_ONLY
kling 3.00.docx,26636,kling;nano banana;higgsfield;capcut,1,CERTIFIED_ONLY
PHOTOGRAPHY MONEY GUIDE.docx,24753,photoshop;lightroom;express;adobe,1,CERTIFIED_ONLY
Gemini PHOTO YAP.docx,23438,lightroom;express;adobe;photoshop,1,CERTIFIED_ONLY
adobe goat.docx,17902,lightroom;adobe;photoshop;topaz,1,CERTIFIED_ONLY
SOCIAL_MEDIA_3_0_REFERENCE.docx,17190,sora;adobe;midjourney;nano banana,1,CERTIFIED_ONLY
branding x clothes gold.docx,14384,illustrator;adobe;capcut;photoshop,1,CERTIFIED_ONLY
MOSTLY PHOTOGRPAHY SETS SET DESIGN .docx,13866,photoshop;nano banana;lightroom;adobe,1,CERTIFIED_ONLY
The_Claude_Stack (1).docx,12145,photoshop;lightroom;firefly;adobe,1,CERTIFIED_ONLY
The_Claude_Stack.docx,12145,photoshop;lightroom;firefly;adobe,1,CERTIFIED_ONLY
The_Offer_Stack.docx,11929,figma;express;adobe,1,CERTIFIED_ONLY
The_Revenue_Stack.docx,11336,lightroom,1,CERTIFIED_ONLY
The_Attention_Stack.docx,10958,runway;lightroom;express;midjourney,1,CERTIFIED_ONLY
legal contracts and service business contracts.docx,8737,illustrator;express;adobe,1,CERTIFIED_ONLY
The_Kling_AI_Codex.docx,7234,kling;nano banana;after effects;midjourney,1,CERTIFIED_ONLY
The_Direction_Shift_Master_v2.docx,6227,lightroom;midjourney;nano banana,1,CERTIFIED_ONLY
The_Adobe_Stack_Manual.docx,4558,firefly;express;adobe;premiere,1,TECHNIQUE_CARDED
REMOTION.docx,3164,premiere;after effects;nano banana,1,CERTIFIED_ONLY
THE_REAL_PLAN_Rebrand_Revenue_Execution.docx,2604,lightroom;express;kling,1,CERTIFIED_ONLY
6_Content_Marketing_OS (1).docx,2167,lightroom,1,CERTIFIED_ONLY
Photography_Editing_Playbook.docx,1946,lightroom;express;adobe;photoshop,1,CERTIFIED_ONLY
Pixieset_Operations_Reference.docx,1897,lightroom,1,CERTIFIED_ONLY
BIZ EXPENSES.docx,1795,adobe,1,CERTIFIED_ONLY
Photography_Revenue_Playbook.docx,1725,lightroom,1,CERTIFIED_ONLY
life story.docx,1458,photoshop,1,CERTIFIED_ONLY
Evoto_AI_Retouching_Reference.docx,1212,lightroom;photoshop,1,CERTIFIED_ONLY
youtube skool doc.docx,196895,express;figma;nano banana;sora,2,CERTIFIED_ONLY
meta everything use.docx,143677,express;runway;figma,2,CERTIFIED_ONLY
ai after ramon copy.docx,137066,midjourney;nano banana;figma;express,2,CERTIFIED_ONLY
ai after ramon.docx,137066,midjourney;nano banana;figma;express,2,CERTIFIED_ONLY
takeover after ramon copy.docx,134205,midjourney;nano banana;figma;express,2,CERTIFIED_ONLY
takeover after ramon.docx,134205,midjourney;nano banana;figma;express,2,CERTIFIED_ONLY
claude thursday 4:23.docx,111895,express;figma;nano banana,2,CERTIFIED_ONLY
The_Platform_Stack.docx,12022,express;figma,2,CERTIFIED_ONLY
use blender like this.docx,41116,blender;express,3,TECHNIQUE_CARDED
FASHION KILLA.docx,68456,express;runway,4,CERTIFIED_ONLY
MONEY MONEY AND MORE MONEY AND GETTING AHEAD .docx,55213,runway;express,4,CERTIFIED_ONLY
set up ai.docx,31713,sora,4,CERTIFIED_ONLY
LA PHOTOGRPAHY.docx,24050,express;runway;higgsfield,4,CERTIFIED_ONLY
garyvee gameplan.docx,21791,capcut;sora,4,CERTIFIED_ONLY
AI CHANGED EVERYTHING.docx,14120,kling;express,4,CERTIFIED_ONLY
The_Production_Stack.docx,10505,midjourney,4,CERTIFIED_ONLY
The_Higgsfield_Codex.docx,9037,higgsfield;sora;seedance;kling,4,TECHNIQUE_CARDED
CLAUDE CODE SUPERPOWERS.docx,8800,nano banana,4,CERTIFIED_ONLY
CLAUDE CODE PLUGIN.docx,3368,nano banana,4,CERTIFIED_ONLY
claude_for_small_business_organized.docx,2779,higgsfield,4,CERTIFIED_ONLY
Higgsfield_AI_Operator_Playbook.docx,1668,seedance;nano banana;higgsfield;kling,4,TECHNIQUE_CARDED
Money_Wealth_Getting_Ahead.docx,1638,runway,4,CERTIFIED_ONLY
last one for now.docx,634,midjourney;express,4,CERTIFIED_ONLY
cold out reach instantly gold everything use this always lol.docx,186904,express,5,CERTIFIED_ONLY
claude for small business.docx,66234,express,5,CERTIFIED_ONLY
Built an AI SaaS in 20 min.docx,11544,express,5,CERTIFIED_ONLY
PHOTO PIONEERS VIDEO TEXT.docx,6203,express,5,CERTIFIED_ONLY
sniped_os_knowledge_dump.docx,5811,express;veo,5,CERTIFIED_ONLY
The_Operator_Playbook.docx,3406,express,5,CERTIFIED_ONLY
Brand_Builders_Playbook.docx,2380,express,5,CERTIFIED_ONLY
THREADS.docx,18820,,9,CERTIFIED_ONLY
NEW TAKEOVER HANDLE WITH CARE.docx,6794,,9,CERTIFIED_ONLY
Direction_Stack_90Day_Plan.docx,3514,,9,CERTIFIED_ONLY
Claude_Operating_Manual.docx,2909,,9,CERTIFIED_ONLY
