layer,rag,have_active,tested,status_flags,proving_artifact,smallest_build
Illustrator/InDesign layout layer,RED,False,not_applicable,missing|needs_adobe_bridge,NONE,"Create one layout template (a JSON/vector spec the Adobe document_render_vector or document_render_layout tool consumes) for a single drop-card or Op Kit one-pager, wrap it in os_layout.py with a data-merge slot (name/role/quote), render one proof PDF/PNG, and log it to 09_exports. One rendered proof = RED to AMBER."
Premiere/After Effects edit layer,RED,False,not_applicable,missing|needs_adobe_bridge|needs_generation_bridge,NONE,"Build os_edit.py that calls the LIVE Adobe video_create_quick_cut to concatenate 2 QA-passed clips from a project's 06_approved into one cutdown, then video_resize per platform, and log it to a new EDIT_LOG row + 09_exports. One logged real cut = the edit layer goes from RED to AMBER."
distribution/content calendar layer,RED,False,not_applicable,missing|needs_automation|blocked_account_manual,"Caption generation only: /Users/sniper/AI-Brain-Refinery/.claude/skills/sniped-caption-writer/SKILL.md (outputs 3 options to chat, no file/queue). Content calendar / scheduler / posting queue artifact: NONE. The only calendar-shaped artifact on disk is KOTS-specific (/Users/sniper/AI-Brain-Refinery/00_COMMAND_CENTER/kingdom_of_the_sun/media/KOTS_GAME_WEEK_CALENDAR.md), not a SNIPED content calendar.","A single content-calendar CSV template (columns: date, asset_id, channel, caption_ref, status[draft/queued/posted], proof_dashboard_link) under 00_COMMAND_CENTER/, plus a thin os_calendar.py that reads it and prints this-week's queue and flags overdue rows. Optionally back it with the live Airtable/Notion MCP as the editable surface. This closes the gap from zero to a tracked queue without any auto-posting."
monetization/payment layer,RED,False,untested,missing|known_not_operationalized|blocked_account_manual|needs_human_taste,"NONE (closest artifacts: /Users/sniper/AI-Brain-Refinery/00_COMMAND_CENTER/PROPOSAL_AND_INVOICE_PLAYBOOK.md is a playbook doc, not a runnable payment system; /Users/sniper/AI-Brain-Refinery/00_COMMAND_CENTER/proofcell/form/RESPONSES.csv holds a header row only, zero responses, and os_form_score.py has never run since no SCORE.md exists)","Stand up one legitimate payment link in the operator's account (Stripe Payment Link or PayPal/Square link) per the payment-follows-proof doctrine, save the link + terms in a /00_COMMAND_CENTER/payments/ folder with a PAYMENTS_CHECKLIST.md (privacy-safe: not real-name-exposed until entity exists), and add a revenue-in column to a ledger so os_cost-style tracking covers money in, not just credits out. Run os_form_score.py once to remove the never-run gap on the demand side."
"Adobe post-production layer (umbrella: Lightroom/Camera Raw grade, Premiere/AE edit, speech/media enhance, render/merge)",AMBER,False,untested,known_not_operationalized|needs_adobe_bridge|needs_automation,"NONE. All EDIT_LOG.csv files are header-only / empty: /Users/sniper/AI-Brain-Refinery/00_COMMAND_CENTER/campaign_house/axis_meridian_motion_001/10_logs/EDIT_LOG.csv (1 line), _live_001, _batch_001, _TEMPLATE all 1 line. No os_*.py and no skill references any Adobe MCP tool in an executable path. No rendered/edited Adobe output asset on disk.","Write os_edit.py that wraps two Adobe MCP calls into one gated, logged workflow: (1) apply the v3 LUXURY look to a still via image_apply_preset/image_adjust_* and (2) trim/resize a clip via video_create_quick_cut + video_resize, each writing a from/to row to EDIT_LOG.csv and the output into 08_edits/. Prove with one logged dry-run on axis_motion_v1.mp4 (resize to 9:16) so EDIT_LOG stops being empty."
Command router,AMBER,True,untested,built_untested|needs_human_taste,"/Users/sniper/AI-Brain-Refinery/.claude/skills/os-command-router/SKILL.md (hook: /Users/sniper/AI-Brain-Refinery/00_COMMAND_CENTER/scripts/os_gate_injector.py, wired in /Users/sniper/AI-Brain-Refinery/.claude/settings.json)","Add a tiny fixture set of labeled example prompts with expected mode+gates and a checker script, so the router classification is test-proven (not just model-judgment). Optionally log each emitted ROUTE receipt to a CSV for an auditable trail."
Lightroom/Camera Raw grade layer,AMBER,True,untested,built_untested|needs_adobe_bridge|needs_human_taste,/Users/sniper/AI-Brain-Refinery/.claude/skills/sniped-luxury-edit/SKILL.md (and preset at /Users/sniper/Downloads/    SNIPED_OS/05_PRODUCTION/_preset_backups/SNIPED_LOCKED_LOOK_v3_LUXURY.xmp),"Wrap the .xmp slider values + 5-mask stack into an os_grade.py that drives the LIVE Adobe MCP image_adjust_* tools on a sample frame, log a before/after with a numeric skin-drift check (reuse platform-mastering's measured delta), and store one proven dry-run. That converts the manual skill into a tested automated grade."
Photoshop/composite layer (locked subject into generated/shot world),AMBER,False,untested,built_untested|needs_human_taste|needs_proof_loop_bridge,"PARTIAL/NONE. Standard exists: /Users/sniper/AI-Brain-Refinery/00_COMMAND_CENTER/_standards/COMPOSITE_MASTER_QA.md (7.4KB, 8 gates) and skill /Users/sniper/AI-Brain-Refinery/.claude/skills/composite-master-qa/SKILL.md. But NO assembled composite + scorecard exists on disk: no .tif/.tiff composite, no QA scorecard artifact, no logged composite run. The only hero PNG (axis_hero_v2_marked.png) is a mark-injection output, not a subject-into-plate composite.","Run ONE composite end-to-end and write the proof to disk: integrate the locked axis hero into a Brutalist-Monument plate, produce the required 5 proof crops + the 6-axis scorecard (lighting/grounding/edge/color/artifact/brand each /10) and a status line (client-ready/internal/rebuild), saved into the project 08_edits/ + a COMPOSITE_QA_SCORECARD.md. That converts the standard from AMBER to a tested GREEN with a single logged pass."
backups,AMBER,True,proven_dry_run,built_untested|needs_automation|known_not_operationalized,/Users/sniper/AI-Brain-Refinery/00_COMMAND_CENTER/scripts/os_backup.sh,"Two commands: (1) git remote add osbackup <private GitHub/GitLab url>; (2) flip the launchd ProgramArguments to call os_backup.sh with 'push' (it currently runs default 'commit', local only). Then trigger one real run to create /tmp/os_backup.log and confirm offsite push. That moves this to GREEN."
dashboard/control-room layer,AMBER,False,untested,known_not_operationalized|needs_automation|needs_proof_loop_bridge,"/Users/sniper/AI-Brain-Refinery/00_COMMAND_CENTER/OS_OPERATOR_HANDOFF.md (real, populated control doc) + /Users/sniper/AI-Brain-Refinery/00_COMMAND_CENTER/OS_MAX_DEMO_001/09_PROOF_DASHBOARD/proof_dashboard.md (populated gate panel). NOTE: campaign_house/*/10_logs/PROOF_LOOP_DASHBOARD.md are EMPTY header-only tables.","A ~30-line script (os_proof_dashboard.py) that reads RESPONSES.csv + SCORE.md and writes the populated PROOF_LOOP_DASHBOARD.md row(s) (asset, posted?, metric, 24h, 7d, verdict). That converts the empty template tables into a live, regenerated panel and closes the gap between the GREEN scoring layer and the static dashboards. Optionally mirror to Notion/Airtable via the live MCP for a remote control room."
landing/form layer,AMBER,False,proven_dry_run,built_untested|blocked_account_manual|needs_human_taste,"/Users/sniper/AI-Brain-Refinery/00_COMMAND_CENTER/proofcell/form/site/index.html (with real assets site/assets/hero.png 1.27MB + site/assets/loop.mp4 1.95MB, netlify.toml, vercel.json, TALLY_SPEC.md, DEPLOY_NOTE.md)","Operator pastes ONE real endpoint: either rebuild in Tally per TALLY_SPEC.md (2 min, gives private link) OR replace action=""REPLACE_WITH_YOUR_FORM_ENDPOINT"" in index.html with a Formspree URL and drop site/ on Netlify/Vercel. The HTML and assets are already done; only the endpoint + host wiring remain. Vercel MCP could automate the deploy step once the operator authorizes a non-real-name team."
privacy/identity/employer-risk layer,AMBER,True,untested,built_untested|known_not_operationalized|needs_human_taste|blocked_legal_privacy_employer,/Users/sniper/AI-Brain-Refinery/00_COMMAND_CENTER/proofcell/form/PRIVACY_CHECKLIST.md (+ /Users/sniper/AI-Brain-Refinery/00_COMMAND_CENTER/proofcell/form/SHARE_CHECKLIST.md),"Write os_privacy_gate.py that (1) runs exiftool over any asset folder and flags/strips identifying metadata, (2) greps the built site/form HTML for the banned tokens (real name, 'sniped', employer, personal handles) and refuses on a hit, turning the manual checklist into an enforced gate wired before the SHARE step."
startup/legal document layer,AMBER,True,untested,built_untested|known_not_operationalized|needs_human_taste|blocked_legal_privacy_employer,"/Users/sniper/AI-Brain-Refinery/00_COMMAND_CENTER/OS_MAX_DEMO_001/08_STARTUP_DOCS/STARTUP_OPERATING_KIT.md (+ STARTUP_DOC_REGISTRY.csv, _stub_privacy_policy.md, _stub_terms_of_service.md in same folder)","Move the 4 NOW-set items out of the OS_MAX_DEMO_001 demo sandbox into a live /00_COMMAND_CENTER/legal/ folder, and actually write the two missing template stub files that the kit promises but does not have on disk: _stub_nda.md and _stub_ip_assignment.md. Then have a lawyer review the 4 NOW stubs once."
AI generation layer,GREEN,True,logged_real_run,active_tested|needs_human_taste|needs_adobe_bridge,"/Users/sniper/AI-Brain-Refinery/00_COMMAND_CENTER/scripts/os_generate.py (prep/ingest gates with FAILURES.csv + NO-placeholder logic); logged real runs at /Users/sniper/AI-Brain-Refinery/00_COMMAND_CENTER/campaign_house/axis_meridian_motion_001/10_logs/GENERATION_LOG.csv (3 rows: axis_hero_v1.png, axis_hero_v2.png 1.8M real PNG, axis_motion_v1.mp4 1.9M real 18-credit video) and /Users/sniper/AI-Brain-Refinery/00_COMMAND_CENTER/campaign_house/_batch_001/10_logs/GENERATION_LOG.csv (3 var_*.png + 1 FAILED row proving the failure path fires)",Confirm the assumed Higgsfield video credit rate against live show_plans_and_credits so os_generate.py prep-video stops refusing to estimate (ASSUMED_VIDEO_RATE_CR_PER_SEC is intentionally None today); add a thin os_generate.py 'generate' subcommand that calls the MCP directly so the generate step is logged automatically rather than narrated by Claude between prep and ingest.
OS source/certification layer,GREEN,True,logged_real_run,active_tested,/Users/sniper/AI-Brain-Refinery/00_COMMAND_CENTER/scripts/os_certify.py + /Users/sniper/AI-Brain-Refinery/00_COMMAND_CENTER/OS_CERTIFICATION_LEDGER.csv,Add a per-file segment ledger so multi-segment sources can move from provisionally_verified to certified (currently 82% of word-volume is provisional with no segment ledger); wire os_certify.py to fail-loud on dashboard/manifest drift.
