beat,hold_s,framing,world,product_exposure,engine,still_job,still_gate,video_job,take_gate,notes
CAST,na,full-body lock,W1,AI-PRODUCT,nano_banana_pro,f3173029(T2),APPROVED-WIDE-ONLY,na,na,"T2 = locked wide plate. halftone print PASS, construction PASS, cherry-left-cup PASS, likeness PASS (3rd person). FAIL: dice beads + crisp pave (carry on real-garment macro inserts). T1 4580bb02 REJECTED clipart cherries. SD45 3b8922b9/c53942c2 = 5K alt, cherry+hip-hardware visible but print=scattered not halftone."
B01,3.5,extreme wide tableau,W1,AI-PRODUCT,kling3_0,f3173029(T2),APPROVED-WIDE,c94b30be,PASS,"Kling pro 1080p sound-off 5s 8.75cr. Deadpan hold, garment holds across take, moderation PASS. Seedance alt 9bb80272 720p also PASS. Kling = primary lane."
B02,1.2,tight hip ties,W1,AI-PRODUCT,seedance_2_0,,,,,
B03,1.5,wide abandon speaker,W1,AI-PRODUCT,kling3_0,,,,,
B04,1.0,tight heels past speaker,W1,AI-PRODUCT,seedance_2_0,,,,,
B05,2.0,med-wide trunk towel,W1,AI-PRODUCT,kling3_0,,,,,
B06,2.5,wide tableau pump,W2,AI-PRODUCT,seedance_2_0,,,,,
B07,1.2,tight lens squeegee,W2,AI-PRODUCT,kling3_0,,,,,
B08,1.5,med rearview lipstick,W2,AI-PRODUCT,kling3_0,,,,,
B09,1.0,tight cherry cup detail,W2,AI-PRODUCT,seedance_2_0,,,,,
B10,2.5,wide tableau solitaire,W3,AI-PRODUCT,seedance_2_0,,,,,
B11,1.2,tight cards blow away,W3,AI-PRODUCT,seedance_2_0,,,,,
B12,1.5,med card to lens,W3,AI-PRODUCT,kling3_0,,,,,
B13,1.0,tight back charms,W3,AI-PRODUCT,seedance_2_0,,,,,
B14,2.0,wide dusk neon walk,W4,AI-PRODUCT,kling3_0,,,,,
B15,1.2,tight neon face,W4,AI-PRODUCT,kling3_0,,,,,
B16,1.5,med dice roll on roof,W4,AI-PRODUCT,kling3_0,,,,,
B17,1.0,macro dice settle,W4,AI-NO-PRODUCT,seedance_2_0,,,,,
B18,2.5,statement card,POST,NO-AI,after_effects,na,na,na,na,"LOVE IS A GAMBLE. static red on black"
B19,3.5,finale wide hold headlights,W4,AI-PRODUCT,kling3_0,,,,,
B20,2.5,end card wordmark,POST,NO-AI,after_effects,na,na,na,na,"real brand kit assets + TEXT LOVECLUB"
GATE_LOG,,,,,,,,,,
beat,verdict,garment_reads,,,,,,,,note
m01_noon,WARN,coral print reads bold-blob not fine snakeskin; construction+color correct,,,,,,,,acceptable at wide distance
m02_hood,PASS,product on hood full set fine snakeskin + rhinestone cherry pair + beaded caps,,,,,,,,no body; closest live match
m03_walk,WARN,rear-view halter+hip-tie correct; soft-blob print at distance,,,,,,,,acceptable
m04_cherry,PASS,exact match to _94A2812 rhinestone cherry,,,,,,,,no body
m05_gas,PASS,construction correct; same print family,,,,,,,,
m06_rearview,FAIL,WRONG SUIT white painted scattered-cherry + face drift,,,,,,,,DROPPED from vertical recut
m07_mirror,PASS,product on mirror fine snakeskin + cherry pair + SILVER DICE BEADS,,,,,,,,no body; nails all 4 spec elements
m08_solitaire,PASS,construction+hip-bow correct; same family,,,,,,,,
m09_dice,PASS,exact match to _94A2810 dice beads,,,,,,,,no body
m10_night,PASS,cherry beadwork on top+bottom front; construction correct,,,,,,,,
GATE_SUMMARY,7_PASS_2_WARN_1_FAIL,m06 only fail dropped from recut; no wrong-garment beat remains in vertical,,,,,,,,logged 2026-06-13 fixing prior 2-of-20 gap
