beat,verdict,garment_reads,why
m01,WARN,ivory string bikini / coral-red print bold-blob,Print reads as bold coral cherry-blobs not fine snakeskin texture but acceptable at wide distance; construction and color family correct.
m02,PASS,product-only on hood / full set fine snakeskin print + rhinestone cherry pair + beaded string caps,No body; fine coral feather-snakeskin print on ivory matches reference; rhinestone cherry pair present; string caps read crystal/dice. Closest live match.
m03,WARN,rear view ivory string bikini / coral print bold-blob,Rear walk; halter and hip-tie construction correct; print soft-blob at distance; cherry/dice not resolvable but nothing contradicts.
m04,PASS,product macro cherry / exact match to _94A2812,No body; rhinestone cherry pair red+silver stones green crystal stem and fine snakeskin print all match the real garment precisely.
m05,PASS,ivory string bikini / coral print medium distance,Construction correct; same body double and print family as m01/m03; soft-blob print at medium distance acceptable.
m06,FAIL,WRONG SUIT: white base with flat painted scattered-cherry print no coral snakeskin no rhinestones,Different garment entirely (painted-cherry print on near-white base not coral snakeskin halftone with beaded cherry); slight face/identity drift. Worst continuity break.
m07,PASS,product on mirror / fine snakeskin print + rhinestone cherry pair + SILVER DICE BEADS on string ends,No body; confirms all four spec elements including the silver dice-cube beads with pips. Most complete verification.
m08,PASS,ivory string bikini / coral print medium distance,Construction and hip-bow ties correct; same body and print family; cherry/dice not resolvable at scale; nothing contradicts.
m09,PASS,product macro string ends / exact match to _94A2810,No body; fine coral snakeskin print and silver dice-cube beads with drilled pips on string ends match the real garment.
m10,PASS,ivory string bikini + draped robe / rhinestone cherries on cup and bottom front,Cherry beadwork visible on top and bottom front; construction correct; same body double; print soft-blob at distance.
