criterion,weight,what_0_looks_like,what_10_looks_like,kill_condition
big_idea_fit,3,"no link to singularity/sovereignty/proof/vault","instantly evokes the only-one / sovereign / sealed idea",""
audience_fit,2,"reads consumer/tech/cheap to an established-business owner","reads like a firm a premium owner-operator would hire",""
memorability,3,"forgettable, generic, hard to recall","sticks after one hearing, distinct shape",""
pronunciation,3,"ambiguous or hard to say, multiple readings","one obvious pronunciation, says clean",reads-multiple-ways
spelling,2,"cannot spell from hearing it","spelled exactly as said",cannot-spell-from-sound
crowded_bar_test,2,"must be spelled/repeated/explained in a noisy room","lands once, loud, no explanation",""
premium_feel,3,"SaaS/pharma/discount register","engraved nameplate, private-bank, struck-once",reads-saas-or-pharma
distinctiveness,3,"dictionary word or me-too","fanciful/suggestive, ownable shape",generic-or-descriptive
trademark_risk,3,"identical mark, same class incumbent","no known same-class incumbent, suggestive/fanciful",same-class-incumbent
domain_path,2,"no acquirable address in any sane form","clean .house/.studio or coined-compound .com acquirable",no-acquirable-path
search_uniqueness,2,"buried under existing brands/terms in search","near-zero competing search results",buried-in-search
visual_identity_potential,2,"no mark/monogram/wordmark hook","obvious wordmark + monogram + the Seal carries",""
future_proofing,1,"locks to one service/era/trend","scales across offers and a decade",trend-locked
global_language_risk,2,"bad/offensive meaning in a major language","clean across EN/ES/FR/DE/IT/PT",bad-meaning-major-language
