name,heading_font,body_font,google_fonts_url,keywords,best_for,pairing_reason
Bold Editorial,"Playfair Display","Source Sans 3","https://fonts.google.com/share?selection.family=Playfair+Display:wght@700;900|Source+Sans+3:wght@400;600",editorial elegant serif contrast bold magazine,Magazines and editorial blogs and luxury brands,High-contrast serif headings create drama against clean sans body
Modern Professional,"Space Grotesk","Inter","https://fonts.google.com/share?selection.family=Inter:wght@400;500;600|Space+Grotesk:wght@500;700",modern professional clean geometric tech,SaaS and tech products and professional services,Geometric sans heading pairs with neutral body for polished tech feel
Elegant Luxury,"Cormorant Garamond","Nunito Sans","https://fonts.google.com/share?selection.family=Cormorant+Garamond:wght@500;700|Nunito+Sans:wght@400;600",luxury elegant refined serif classic,Luxury brands and fashion and fine dining and jewelry,Refined serif contrasts with friendly rounded sans for approachable luxury
Creative Bold,"Sora","DM Sans","https://fonts.google.com/share?selection.family=DM+Sans:wght@400;500|Sora:wght@600;800",creative bold modern geometric clean,Creative agencies and startups and design studios,Bold geometric heading with clean modern body balances creativity and readability
Warm Friendly,"Quicksand","Nunito","https://fonts.google.com/share?selection.family=Nunito:wght@400;600|Quicksand:wght@500;700",warm friendly rounded soft approachable,Children's brands and wellness and education and community,Both rounded fonts create cohesive warmth without losing hierarchy
Technical Mono,"JetBrains Mono","IBM Plex Sans","https://fonts.google.com/share?selection.family=IBM+Plex+Sans:wght@400;500|JetBrains+Mono:wght@500;700",technical mono developer code precision,Developer tools and documentation and technical products,Monospace headings signal technical authority while sans body stays readable
Startup Hero,"Plus Jakarta Sans","Plus Jakarta Sans","https://fonts.google.com/share?selection.family=Plus+Jakarta+Sans:wght@400;500;700;800",startup modern clean versatile tech,Tech startups and SaaS and modern web apps,Single family with weight contrast creates clean systematic hierarchy
Classic Authority,"Merriweather","Open Sans","https://fonts.google.com/share?selection.family=Merriweather:wght@700;900|Open+Sans:wght@400;600",classic authority trustworthy serif professional,Law firms and finance and government and institutions,Authoritative serif headings build trust with universally readable sans body
Playful Display,"Fredoka","Outfit","https://fonts.google.com/share?selection.family=Fredoka:wght@500;700|Outfit:wght@400;500",playful fun rounded colorful friendly,Games and kids products and casual apps and events,Rounded display heading is fun while body stays cleanly legible
Swiss Minimal,"Outfit","Outfit","https://fonts.google.com/share?selection.family=Outfit:wght@300;400;600;700",minimal swiss clean geometric modern,Portfolios and minimal designs and architecture and galleries,Single geometric font with weight variation for Swiss-style clean hierarchy
