id,category,rule,description,priority,do_example,dont_example
A1,accessibility,Color contrast minimum 4.5:1,All text must meet WCAG AA minimum contrast ratio of 4.5:1 for normal text and 3:1 for large text,CRITICAL,Use #1a1a1a text on #ffffff background (ratio 17.4:1),Use #999999 text on #ffffff background (ratio 2.8:1)
A2,accessibility,Never rely on color alone,Information conveyed by color must also be available through text or icons,CRITICAL,Error messages use red color AND an error icon AND descriptive text,A form field turns red with no other indication of the error
A3,accessibility,All images need alt text,Every meaningful image must have descriptive alt text and decorative images need empty alt,CRITICAL,"alt=""Product dashboard showing weekly analytics chart""","No alt attribute or alt=""image1.png"""
A4,accessibility,Form inputs need visible labels,Every input must have a visible associated label not just placeholder text,CRITICAL,"<label for=""email"">Email address</label><input id=""email"">",<input placeholder="Email address"> with no label element
A5,accessibility,Keyboard navigation must work,All interactive elements must be reachable and operable via keyboard alone,CRITICAL,Tab order follows visual layout and all buttons and links are focusable,Custom dropdown only works with mouse click events
A6,accessibility,Focus states must be visible,Focused elements need a clearly visible focus indicator that is not just color,CRITICAL,outline: 2px solid #2563eb with 2px offset on focused elements,outline: none on all elements for aesthetic reasons
A7,accessibility,Provide skip navigation,Long pages need a skip-to-main-content link for keyboard and screen reader users,HIGH,Hidden link appears on focus: Skip to main content,No skip link forcing keyboard users to tab through entire nav
A8,accessibility,Respect prefers-reduced-motion,Check user motion preferences and disable or reduce animations accordingly,HIGH,"@media (prefers-reduced-motion: reduce) { * { animation: none; } }",Complex parallax animations with no reduced-motion alternative
A9,accessibility,Sufficient touch target size,Interactive elements must be at least 44x44px for touch and 24x24px minimum for mouse,CRITICAL,Button padding: 12px 24px creating a 44px minimum touch target,Small 16x16px icon buttons with no padding
A10,accessibility,Semantic HTML structure,Use proper heading hierarchy h1-h6 and semantic landmarks,HIGH,Single h1 then h2 for sections then h3 for subsections in order,Multiple h1 tags or skipping from h1 to h4
T1,touch-interaction,Cursor pointer on clickable elements,All clickable elements must show pointer cursor to signal interactivity,HIGH,cursor: pointer on buttons links and interactive cards,Default cursor on a clickable card that navigates somewhere
T2,touch-interaction,Hover states for all interactive elements,Every clickable element needs a visible hover state change,HIGH,"Button changes background color and slight translateY(-1px) on hover",Button has no visual change when hovered
T3,touch-interaction,Click feedback with active states,Pressed/active state should provide immediate visual feedback,MEDIUM,"Button scales to 0.98 or darkens on :active","No :active style making clicks feel unresponsive"
