doc,file_class,segments,coverage_proven,cert_status,doctrine_value,notes
Aesthetic_Statement_v1.docx,clean_text_doc,1,yes,certified,high,SNIPED aesthetic v1 + depth-fix
Art_Series.docx,clean_text_doc,1,yes,certified,high,9-master 18-week study series
sniped_context_tools_only.docx,docx_source,1,yes,certified,high,Instantly+LinkedIn ops
MASTER CLAUDE CODE COURSE 1 thru 8.docx.docx,generated_os_artifact,1,yes,os_artifact,none,prior session transcript not course
last one for now.docx,transcript_dump,1,yes,certified_coverage,low,Twitter SREF scrape codes only
6_Content_Marketing_OS (1).docx,clean_text_doc,1,yes,certified,high,SNIPED content+marketing OS (7x7, 5 pillars, 3-channel funnel, Threads kill switch)
BIZ EXPENSES.docx,source_financial_record,1,yes,certified,low,real cost stack (Instantly/Pixieset/Adobe/Evoto/LeadSwift invoices)
Claude_Operating_Manual.docx,clean_text_doc,1,yes,certified,high,context-architecture>prompting; reinforces OS_CLAUDE_OPERATING_MANUAL
AI_CHANGED_EVERYTHING.docx,transcript,2,yes,certified,high,wave1
Brand_Builders_Playbook.docx,high_signal_source,1,yes,certified,high,wave1
Built_an_AI_SaaS_in_20_min.docx,artifact,2,yes,certified,high,wave1
CLAUDE_CODE_PLUGIN.docx,artifact,1,yes,certified,medium,wave1
CLAUDE_CODE_SUPERPOWERS.docx,high_signal_source,2,yes,certified,high,wave1
COURSE_WORK_1_thru_2.docx,artifact,4,yes,certified,high,wave1
Cold_Outreach_Sales_Pipeline_Playbook.docx,high_signal_source,1,yes,certified,high,wave1
Contracts_Legal_Protection_Playbook.docx,high_signal_source,1,yes,certified,high,wave1
Copywriting_Playbook.docx,high_signal_source,1,yes,certified,high,wave1
Digital_Products_AI_Services_Playbook.docx,high_signal_source,1,yes,certified,high,wave1
Direction_Stack_90Day_Plan.docx,high_signal_source,1,yes,certified,high,wave1
Evoto_AI_Retouching_Reference.docx,high_signal_source,1,yes,certified,high,wave1
FASHION_KILLA.docx,scrape,10,yes,certified,low,wave1
FINDING_MODELS_ANYWHERE_OG.docx,transcript,8,yes,certified,low,wave1
Finding_Your_Edge.docx,artifact,1,yes,certified,medium,wave1
GaryVee_Attention_Operating_System.docx,high_signal_source,1,yes,certified,high,wave1
Gemini.docx,high_signal_source,6,yes,certified,high,wave1
Gemini_PHOTO_YAP.docx,high_signal_source,4,yes,certified,high,wave1
Gemini_Sniped_MAster_thread.docx,high_signal_source,6,yes,certified,high,wave1
Higgsfield_AI_Operator_Playbook.docx,high_signal_source,1,yes,certified,high,wave1
LA_PHOTOGRPAHY.docx,high_signal_source,4,yes,certified,high,wave1
MONEY_MONEY_AND_MORE_MONEY_AND_GETTING_AHEAD.docx,high_signal_source,9,yes,certified,high,wave1
MOSTLY_PHOTOGRPAHY_SETS_SET_DESIGN.docx,high_signal_source,3,yes,certified,high,wave1
Money_Wealth_Getting_Ahead.docx,high_signal_source,1,yes,certified,high,wave1
NEW_TAKEOVER_HANDLE_WITH_CARE.docx,scrape,1,yes,certified,medium,wave1
