num,doc,infrastructure,stage,confidence,blocks
1,Founder Agreement,founder-rule+stub,NOW-self,legal-review,nothing-now
2,Incorporation,launch-req+gate,STAGED,legal-review,public-revenue
3,Co-founder Exit,stub,STAGED,legal-review,future-cofounder
4,Shareholders Agreement,stub,STAGED,legal-review,future-equity
5,Cap Table,dashboard-field,NOW-track,provisional,nothing
6,ESOP,stub,STAGED,legal-review,hiring
7,NDA,gate+stub,NOW-gate,legal-review,sharing-IP
8,IP Assignment,gate+stub,NOW-gate,legal-review,owning-IP
9,Trademark,checklist+name-gate,NOW-name,legal-review,public-name
10,Employee Contracts,stub,STAGED,legal-review,hiring
11,Offer Letters,stub,STAGED,legal-review,hiring
12,HR Policies,policy-stub,STAGED,legal-review,hiring
13,Terms of Service,launch-req+stub,NOW-if-public,legal-review,public-form
14,Privacy Policy,proof-req+stub,NOW-if-public,legal-review,collecting-email
15,Legal Compliance,checklist,STAGED,legal-review,operating
16,Pitch Deck,stub,STAGED,proof-needed,raising
17,Financial Model,dashboard-field+stub,NOW-track,provisional,nothing
18,Term Sheet,stub,STAGED,legal-review,funded
