sponsor_name,category,segment,tier_target,contact_name,contact_title,email,phone,source_warm_intro,stage,owner_lane,value_usd,inventory_promised,next_action,next_action_date,year,notes
EXAMPLE - Local Auto Dealer,Automotive,Local Ocala,Court (Gold),,,,,Dad / committee network,Prospect,A,,,Research owner + warm intro path,,2026,Car dealers are reliable HS sports sponsors; aim for a multi-year
EXAMPLE - Regional Bank or Credit Union,Financial,Regional FL,Court (Gold),,,,,Dad / committee network,Prospect,A,,,Identify community-relations contact,,2026,Campus USA / SECU / local community banks fund youth sports
AdventHealth Ocala,Healthcare,Local Ocala,Sideline (Silver),,,,,,Prospect,A,,,Find community sponsorship contact,,2026,Health systems sponsor for community goodwill + recruiting
HCA Florida Ocala Hospital,Healthcare,Local Ocala,Sideline (Silver),,,,,,Prospect,A,,,Find community sponsorship contact,,2026,Alternate to AdventHealth; do not pit them publicly
Publix,Grocery / Retail,Regional FL,Court (Gold),,,,,,Prospect,A,,,Apply via Publix corporate giving / local store manager,,2026,Major FL HS sports supporter; structured giving program
Chick-fil-A (local franchise),QSR,Local Ocala,Sideline (Silver) or Meal Sponsor,,,,,,Prospect,A,,,Approach local franchise operator directly,,2026,Operators control local sponsorship budgets
Gatorade,Sports drink,National,Game Ball / Contest,,,,,,Prospect,A,,,Pursue via grassroots / regional rep,,2026,National brands are slow; long lead; in-kind likely before cash
Wilson or Spalding,Equipment,National,Game Ball Sponsor,,,,,,Prospect,A,,,Pursue in-kind game balls first,,2026,Start in-kind; cash sponsorship is year 2+
Local Sports / Athletic Store,Retail,Local Ocala,Community (Local),,,,,,Prospect,A,,,Walk-in + owner conversation,,2026,Community tier; fast yes; builds the logo wall
Ocala / Marion County Chamber members,Mixed local,Local Ocala,Community (Local),,,,,Dad / committee network,Prospect,A,,,Pull member directory; batch the Community tier,,2026,Volume play for the Community tier logo wall
Tournament Alumni / NBA-connected,Alumni,Alumni network,Crown (Title),,,,,Dad + alumni relationships,Prospect,A,,,Map which alumni have foundations / brands,,2026,Alumni halo is the strongest Crown-tier angle
Website / Digital Placement Buyers,Digital,Any,By tier,,,,,,Prospect,B,,,BJ owns digital inventory as builder of record,,2026,Lane B can run digital placements under dad's authority
