doc,words,primary_family,families,doc_type,density,existing_cards,conversion_status,reason
series 3 download.txt,918511,adobe,adobe:3257;premiere:1308;sales:907,how_to,15.3,0,CONVERTED,15 cards extracted this pass
astro claude websites 3x faster.txt,851199,claude,claude:3519;photo:1864;copy:1077,how_to,10.6,0,CONVERTED,10 cards extracted this pass
new hot shit .txt,838784,copy,copy:805;sales:440;social:284,transcript,4.1,0,DISCARD,"transcript aggregation (YouTube/interviews), no executable technique; route to intel/chunking not cards"
high level convos.txt,684626,copy,copy:697;social:340;money:324,transcript,5.4,0,DISCARD,"raw interview/podcast transcripts, no tool-specific steps; route to doctrine chunking not cards"
series 5 download.txt,378263,claude,claude:815;sales:452;copy:344,how_to,11.8,0,CONVERTED,14 cards extracted this pass
NEXT INFO GRABS.txt,329062,photo,photo:1785;money:450;sales:391,transcript,4.6,0,CONVERTED,10 cards extracted this pass
gary2.0 use.txt,321935,social,social:891;copy:270;sales:191,transcript,4.4,0,CONVERTED,8 cards extracted this pass
series 1 download.txt,216177,photo,photo:630;money:613;copy:180,transcript,6.6,0,CONVERTED,7 cards extracted this pass
youtube skool doc.txt,196895,claude,claude:1747;copy:358;photo:349,how_to,9.7,0,CONVERTED,8 cards extracted this pass
SOCIAL MEDIA 3.0 MAY USE.txt,193081,social,social:1486;copy:525;sales:190,how_to,9.2,0,CONVERTED,7 cards extracted this pass
last lightroom hopefully.txt,189750,adobe,adobe:622;photo:281;copy:119,how_to,13.9,0,CONVERTED,10 cards extracted this pass
meta everything use.txt,143677,social,social:461;sales:245;copy:220,how_to,12.5,0,CONVERTED,10 cards extracted this pass
ai after ramon.txt,137066,social,social:315;claude:276;sales:185,how_to,11.4,0,CONVERTED,8 cards extracted this pass
takeover after ramon.txt,134205,multi,claude:229;social:204;sales:176,how_to,11.6,0,CONVERTED,10 cards extracted this pass
claude thursday 4:23.txt,111895,claude,claude:889;copy:130;sales:123,how_to,14.8,0,CONVERTED,10 cards extracted this pass
last ig growth strat.txt,87796,social,social:1205;copy:160;sales:59,how_to,9.5,0,CONVERTED,10 cards extracted this pass
LOCATION SCOUTING OG.txt,86849,photo,photo:515;copy:81;sales:79,transcript,6.0,0,CONVERTED,10 cards extracted this pass
mostly Powerhouse-.txt,76124,copy,copy:145;sales:86;money:52,transcript,4.7,0,DISCARD,"keynote/book-notes transcript (cultural-capital, CAA); intel-doctrine material not a callable technique"
sniped figma.txt,73184,figma,figma:616;claude:241;copy:147,how_to,15.5,0,CONVERTED,8 cards extracted this pass
gary thread.txt,70251,multi,sales:444;social:441;photo:360,transcript,6.1,0,CONVERTED,9 cards extracted this pass
chat Sniped MAster thread.txt,69537,photo,photo:360;money:323;sales:178,transcript,6.9,0,CONVERTED,8 cards extracted this pass
