id,date,what_failed,root_cause,fix,lesson,prevents_via
blender_black_renders,2026-06-05,~11 Blender renders came back black/flat/whiteout,AgX view crushing; lights pointed away from camera-facing faces; haze cube enclosed camera,Standard view transform; sun toward camera-facing faces; confine haze beyond subject; pivot to object-space,Blender wins in object-space; render-and-judge is the feedback loop,bl_object_space card + os_blender_gate
seedance_nsfw_falsepos,2026-06-05,Seedance false-flagged a clothed man as NSFW (~22cr wasted),model false-positive on solo figure,"re-prompt 'fully-clothed, no people besides...' + declined_preset_id; budget one reroll",preflight cost; force literal generation,hf_literal card
adobe_layout_template_leak,2026-06-05,os_adobe_layout leaked 'LOT 00 ESTATE OF HER' boilerplate into AXIS one-sheet,hardcoded masthead/kicker defaults,"env-driven OS_KICKER, emptied defaults",caught by elite gate template-leak check,os_elite_art_direction_gate
premiere_falsely_missing,2026-06-05,Premiere reported NOT installed,early glob /Applications/Adobe*Premiere* failed,ls -d confirmed Premiere Pro 2026 installed,verify install before declaring a tool missing,os_tool_reality_check
workflow_args_undefined,2026-06-05,starthere extraction workflow crashed: args.docs undefined,args not delivered to workflow script via scriptPath,embed worklist constant in the script,do not depend on args delivery for critical worklists,embedded DOCS constant
axis_underbuilt_shipped,2026-06-05,AXIS called STRONG/ready while skipping Premiere/AE/Adobe/Figma/Social,no gate enforced library loadout,os_starthere_compliance_gate + os_max_readiness_gate,no MAX claim without proof of loadout + tools,os_max_readiness_gate
seedream_mannequin_doll,2026-06-16,'mannequin' in a Seedream/Higgsfield prompt rendered a literal plastic ball-jointed doll (killed Alma B5 towel),banned-word trips doll render on large/action figures,"ban 'mannequin'; use 'blank deadpan, statue-still, emotionless editorial gaze'; add doll/ball-joint/plastic negatives",named words mutate the render regardless of intent,memory:seedream-mannequin-doll-trap
ai_rear_driving_angle,2026-06-17,"dead-rear 'driving away' angle regressed every time (backward posture, fake jacket hiding product, rear-plate gibberish)",worst composition for product visibility + plate hallucination,"use a 3/4 passenger-side composition; seated forward, hands on wheel, suit side-visible, no rear plate",never use the dead-rear driving shot as the hero,memory:ai-driving-shot-composition-rule
garment_freehand_drift,2026-06-14,freehand prompting drifted the real suit every time (F8 failed all 4),model re-invents the garment without a locked anchor,generate pose keystone-locked then nano_banana 2-image swap to the REAL product photo; or Cinema Studio Element + Character,never freehand a must-be-exact garment,memory:garment-lock-real-product-swap
fullclip_oneshot_swap_drift,2026-06,full-video one-shot object/garment swap drifted and refunded (Kling 3.0 Omni car swap),full-clip AI swap cannot hold an exact target across frames,"lock the target on a still/keyframe, verify it, then animate or use the locked frame as i2v source","full-video one-shot swaps go on the regenerate-list, never the final path",memory:kling-3-0-anti-drift-motion + doctrine:motion pack (hook-injected)
alma_video_too_ai,2026-06-19,client (Kennedie) rejected the Alma video lane as 'too AI generated'; refunded $300,AI video read as too-AI vs her realism bar; lane not viable,retired the video lane; PHOTO lane is the live work; guard in NEXT_ACTION,do not re-route or plan the retired video lane without a fresh operator go,memory:alma-realistic-3model-pivot
overnight_d14_hang,2026-06-20,book-cert overnight loop batch d14 HUNG ~6h on a server rate-limit; ate the 8h budget; stopped at 53/100,no stall-stop watchdog on a silent-hanging batch,45-min no-growth -> TaskStop + STALLED_RETRY + drop concurrency; sequential under os_cost_guard,a batch can hang silently for hours; a watchdog must stop it,skill:corpus-wave-runner WATCHDOG
crash_tmp_wipe,2026-06-20,laptop crash wiped /tmp wave text mid-wave; new terminal risked restarting the whole wave,working text in volatile /tmp; no durable rebuild path,durable reextract script + slug->source map in control/; bank-after-every-batch; resume never restart,never keep critical work-text only in /tmp; controller files are the durable state,skill:corpus-wave-runner crash-recovery
verifier_coverage_gate_quirk,2026-06-21,"docs-tooling verifier reported its OWN spot-check scope as 'sampled', tripping the whole-read gate and holding 12 valid docs",verify prompt conflated verifier sampling with reader coverage,"verifier must judge whether the READER whole-read, not how many files it personally re-opened; rerun failed-only","write verify prompts to judge the worker, not the verifier's own method",skill:docs-tooling-metabolizer
premiere_ping_timeout,2026-06-13,Premiere MCP ping TIMED OUT (reported earlier as connected),bridge temp-dir mismatch ($TMPDIR vs /tmp/premiere-mcp-bridge),symlink /tmp/premiere-mcp-bridge to the $TMPDIR one; bridge_doctor.sh,a tool in the connector list is NOT live; verify a fresh successful ping before claiming,memory:premiere-mcp-bridge-fix + tool ledger UNVERIFIED-LIVE
higgsfield_nsfw_falsepos,2026-06,nano_banana_pro false-flagged legit swimwear as NSFW (blocked the in-car bikini beat 4x),aggressive moderation false-positive on the still (not the i2v),drop to nano_banana non-pro then 4K-upscale,moderation is on the still; a non-pro pass + upscale clears legit swimwear,memory:higgsfield-moderation-bypass
